facility_id,facility_name,cehrt_id,meets_criteria_for_promoting_interoperability_of_ehrs
10125,LAKELAND COMMUNITY HOSPITAL,0015C8CHE73ABS5,Y
10126,TROY REGIONAL MEDICAL CENTER,0015CFG3Q10HY2V,No
10128,JACKSON MEDICAL CENTER,0015CFG3Q10HY2V,Y
10129,NORTH BALDWIN INFIRMARY,0015C97XDZ8XB5U,Y
10130,ST VINCENT'S ST CLAIR,0015C5LFV335WOK,Y
10131,CRESTWOOD MEDICAL CENTER,0015CR8535UDY24,Y
10138,HILL HOSPITAL OF SUMTER COUNTY,,No
10139,BROOKWOOD BAPTIST MEDICAL CENTER,0015CLT8S0A3MT6,Y
10144,SPRINGHILL MEDICAL CENTER,0015CF2C9MW8EHH,Y
10148,EVERGREEN MEDICAL CENTER,0015CFG3Q10HY2V,Y
10149,BAPTIST MEDICAL CENTER EAST,0015CEZ6FY4WR6V,Y
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,0015CFG3Q10HY2V,Y
10157,NORTH ALABAMA SHOALS HOSPITAL,0015CW76TRC3SVN,Y
10158,RUSSELLVILLE HOSPITAL,0015CY9N5RK82FA,Y
10164,COOSA VALLEY MEDICAL CENTER,0015CFG3Q10HY2V,Y
10168,JACK HUGHSTON MEMORIAL HOSPITAL,0015C8CHE73ABS5,Y
10169,ATMORE COMMUNITY HOSPITAL,0015CQ314ZJA5HG,Y
10173,ST VINCENT'S CHILTON,0015C5LFV335W0K,Y
10174,THOMASVILLE REGIONAL MEDICAL CENTER LLC,,No
10175,EAMC-LANIER,0015C069QS9VL47,Y
11300,WASHINGTON COUNTY HOSPITAL,,No
11302,RED BAY HOSPITAL,,No
11304,OCHSNER CHOCTAW GENERAL,0015CVZ8NZE0N5M,Y
11305,ST VINCENTS BLOUNT,0015C5LFV335W0K,Y
11306,TANNER MEDICAL CENTER-EAST ALABAMA,,No
11307,MEDICAL CENTER BARBOUR,,No
13300,THE CHILDREN'S HOSPITAL OF ALABAMA,,No
13301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,,No
20001,PROVIDENCE ALASKA MEDICAL CENTER,0015CCE123S5WK4,Y
20006,MAT-SU REGIONAL MEDICAL CENTER,0015CR8535UDY24,Y
20008,BARTLETT REGIONAL HOSPITAL,0015C084N9B8PXS,Y
20012,FAIRBANKS MEMORIAL HOSPITAL,0015C3K3YJ2CSK4,Y
20017,ALASKA REGIONAL HOSPITAL,0015CYV73ECC6M9,Y
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,0015CNE5E23X9WJ,Y
20024,CENTRAL PENINSULA GENERAL HOSPITAL,0015CDF3ECN53CG,Y
20026,ALASKA NATIVE MEDICAL CENTER,0015C5SDY48QRN1,Y
21301,PROVIDENCE VALDEZ MEDICAL CENTER,0015CCE123S5WK4,Y
21302,PROVIDENCE SEWARD HOSPITAL,0015CCE123S5WK4,Y
21304,PETERSBURG MEDICAL CENTER,,No
21305,SEARHC WRANGELL MEDICAL CENTER-CAH,,No
21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,0015CCE123S5WK4,Y
21307,CORDOVA COMMUNITY MEDICAL CENTER,0015CFG3Q10HY2V,Y
21308,NORTON SOUND REGIONAL HOSPITAL,0015CN9A2LCQ8V2,Y
21309,BRISTOL BAY AREA HEALTH CORPORATION,0015CN9A2LCQ8V2,Y
21310,MANIILAQ HEALTH CENTER,0015CN9A2LCQ8V2,Y
21311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,0015CU48GML2XL5,Y
21312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,,No
21313,SOUTH PENINSULA HOSPITAL,0015CFG3Q10HY2V,Y
21314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,,No
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,0015CWG9E12DJH8,Y
30006,TUCSON MEDICAL CENTER,0015CRN2VX5J03M,Y
30007,VERDE VALLEY MEDICAL CENTER,0015C7EXC2HYX3X,Y
30010,ST. MARY'S HOSPITAL,0015CPS61Z1JW9R,Y
30011,ST JOSEPH'S HOSPITAL,0015CPS61Z1JW9R,Y
30012,YAVAPAI REGIONAL MEDICAL CENTER,0015CG9EYN4SXX0,Y
30013,YUMA REGIONAL MEDICAL CENTER,0015C8XCN16R6V5,Y
30014,HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,0015C0AWU30GFF9,Y
30016,BANNER CASA GRANDE MEDICAL CENTER,0015CWG9E12DJH8,Y
30022,VALLEYWISE HEALTH MEDICAL CENTER,,No
30023,FLAGSTAFF MEDICAL CENTER,0015C7EXC2HYX3X,Y
30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,0015C2FVF76YBY1,Y
30030,ABRAZO CENTRAL CAMPUS,0015CLT8S0A3MT6,Y
30036,CHANDLER REGIONAL MEDICAL CENTER,0015C2FVF76YBY1,Y
30037,TEMPE ST LUKES HOSPITAL,0015C28CYJ5LLF4,Y
30038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,0015C0AWU30GFF9,Y
30043,CANYON VISTA MEDICAL CENTER,0015CQC4AND9RQT,Y
30055,KINGMAN REGIONAL MEDICAL CENTER,0015C5DAR6S83CP,Y
30061,BANNER BOSWELL MEDICAL CENTER,0015CWG9E12DJH8,Y
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,0015CW4VMW3NMY3,Y
30064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,0015CWG9E12DJH8,Y
30065,BANNER DESERT MEDICAL CENTER,0015CWG9E12DJH8,Y
30069,HAVASU REGIONAL MEDICAL CENTER,0015CD30BJE5K3L,Y
30071,FORT DEFIANCE INDIAN HOSPITAL,0015CWD0UCD0JJL,No
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,0015CF2C9MW8EHH,Y
30074,SELLS HOSPITAL,,No
30078,PHOENIX INDIAN MEDICAL CENTER,,No
30083,ABRAZO SCOTTSDALE CAMPUS,0015CLT8S0A3MT6,Y
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,0015CWD0UCD0JJL,Y
30085,NORTHWEST MEDICAL CENTER,0015CPE9ARQ008M,Y
30087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,0015C0AWU30GFF9,Y
30088,BANNER BAYWOOD MEDICAL CENTER,0015CWG9E12DJH8,Y
30089,BANNER THUNDERBIRD MEDICAL CENTER,0015CWG9E12DJH8,Y
30092,HONORHEALTH DEER VALLEY MEDICAL CENTER,0015C0AWU30GFF9,Y
30093,BANNER DEL E. WEBB MEDICAL CENTER,0015CWG9E12DJH8,Y
30094,ABRAZO ARROWHEAD HOSPITAL,0015CLT8S0A3MT6,Y
30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,0015CR8535UDY24,Y
30103,MAYO CLINIC HOSPITAL,0015CVV17E9ZY7H,Y
30105,BANNER HEART HOSPITAL,0015CWG9E12DJH8,Y
30107,ARIZONA SPINE AND JOINT HOSPITAL,0015C40C0YCP4T4,Y
30108,THE CORE INSTITUTE SPECIALTY HOSP,0015CFG3Q10HY2V,Y
30110,ABRAZO WEST CAMPUS,0015CLT8S0A3MT6,Y
30111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,0015CWG9E12DJH8,Y
30112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,0015C80E18RAW4X,Y
30113,WHITERIVER PHS INDIAN HOSPITAL,0015CWD0UCD0JJL,No
30114,ORO VALLEY HOSPITAL,0015CPE9ARQ008M,Y
30115,BANNER ESTRELLA MEDICAL CENTER,0015CWG9E12DJH8,Y
30117,VALLEY VIEW MEDICAL CENTER,0015CD30BJE5K3L,Y
30119,MERCY GILBERT MEDICAL CENTER,0015C2FVF76YBY1,Y
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",0015C28CYJ5LLF4,Y
30122,BANNER GATEWAY MEDICAL CENTER,0015CWG9E12DJH8,Y
30123,HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,0015C0AWU30GFF9,Y
30130,BANNER IRONWOOD MEDICAL CENTER,0015CWG9E12DJH8,Y
30131,O.A.S.I.S. HOSPITAL,0015CD0JYV8VZG4,Y
30134,BANNER GOLDFIELD MEDICAL CENTER,0015CWG9E12DJH8,Y
30136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,0015C2FVF76YBY1,Y
30138,WESTERN REGIONAL MEDICAL CENTER,,No
30139,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,0015C2FVF76YBY1,Y
30146,HONORHEALTH SONORAN CROSSING MEDICAL CENTER,0015C0AWU30GFF9,Y
30147,BANNER OCOTILLO MEDICAL CENTER,0015CWG9E12DJH8,Y
30148,NORTHWEST MEDICAL CENTER SAHUARITA,0015CPE9ARQ008M,Y
30152,EXCEPTIONAL COMMUNITY HOSPITAL - MARICOPA,,No
30153,EAST VALLEY ER & HOSPITAL,,No
30154,EXCEPTIONAL COMMUNITY HOSPITAL YUMA,,No
30155,EXCEPTIONAL COMMUNITY HOSPITAL BULLHEAD CITY,,No
31300,WICKENBURG COMMUNITY HOSPITAL,0015CP587BP0W9H,Y
31301,BENSON HOSPITAL,0015CT0PPT32RH0,Y
31302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",,No
31304,PAGE HOSPITAL,0015CWG9E12DJH8,Y
31305,HOPI HEALTH CARE CENTER,,No
31307,PARKER INDIAN HEALTH CENTER,0015CWD0UCD0JJL,No
31308,HUHU KAM MEMORIAL HOSPITAL,0015C9AFY8WDK5S,Y
31309,SAGE MEMORIAL HOSPITAL,0015CHA8WQP3E7L,No
31311,LITTLE COLORADO MEDICAL CENTER,0015CDA13YNK8F1,No
31312,COPPER QUEEN COMMUNITY HOSPITAL,0015CAM1MLV2KZK,Y
31313,HOLY CROSS HOSPITAL,0015CPS61Z1JW9R,Y
31314,COBRE VALLEY REGIONAL MEDICAL CENTER,0015CUB5R65YGA6,Y
31315,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,0015CFG3Q10HY2V,No
31317,LA PAZ REGIONAL HOSPITAL,0015CFG3Q10HY2V,Y
31318,BANNER PAYSON MEDICAL CENTER,0015CWG9E12DJH8,Y
31319,MT. GRAHAM REGIONAL MEDICAL CENTER,,No
31320,SAN CARLOS APACHE HEALTHCARE CORPORATION,,No
33302,PHOENIX CHILDREN'S HOSPITAL,,No
40001,SILOAM SPRINGS REGIONAL HOSPITAL,0015CR8535UDY24,Y
40002,JOHNSON REGIONAL MEDICAL CENTER,0015CLL9BFC6CSF,Y
40004,WASHINGTON REGIONAL MEDICAL CENTER,0015CBK38PFT73K,Y
40007,CHI-ST VINCENT INFIRMARY,0015CU2LP5KVN3H,Y
40010,MERCY HOSPITAL NORTHWEST ARKANSAS,0015C4J0ZKW5KKJ,Y
40011,CHAMBERS MEMORIAL HOSPITAL,0015CFG3Q10HY2V,Y
40014,WHITE COUNTY MEDICAL CENTER,0015C6K0NZ9XFK8,Y
40015,MENA REGIONAL HEALTH SYSTEM,0015CFG3Q10HY2V,Y
40016,UAMS MEDICAL CENTER,0015C257B7545Y1,Y
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,0015C7G1W5TK50F,Y
40018,BAPTIST HEALTH - VAN BUREN,0015CJ0Y3UMW0HN,Y
40019,FORREST CITY MEDICAL CENTER,0015C8CHE73ABS5,Y
40020,ST BERNARDS MEDICAL CENTER,0015CUB5R65YGA6,Y
40022,NORTHWEST MEDICAL CENTER-SPRINGDALE,0015CPE9ARQ008M,Y
40026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,0015C4J0ZKW5KKJ,Y
40027,BAXTER REGIONAL MEDICAL CENTER,0015CAP2SWL42X3,Y
40029,"CONWAY REGIONAL MEDICAL CENTER, INC",0015C7KPC5GW1G3,Y
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,0015CJ0Y3UMW0HN,Y
40039,ARKANSAS METHODIST MEDICAL CENTER,0015CFG3Q10HY2V,Y
40041,ST MARYS REGIONAL MEDICAL CENTER,0015CE30CZD3LXB,Y
40050,OUACHITA COUNTY MEDICAL CENTER,0015C8CHE73ABS5,Y
40051,BAPTIST HEALTH MEDICAL CENTER-DREW COUNTY,0015CFG3Q10HY2V,Y
40055,BAPTIST HEALTH - FORT SMITH,0015CJ0Y3UMW0HN,Y
40062,MERCY HOSPITAL FORT SMITH,0015C4J0ZKW5KKJ,Y
40067,MAGNOLIA HOSPITAL,0015CFG3Q10HY2V,Y
40069,GREAT RIVER MEDICAL CENTER,0015CX112ZVK0ZX,Y
40071,JEFFERSON REGIONAL MEDICAL CENTER,0015C1SM0B8G4AU,Y
40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,0015CJ0Y3UMW0HN,Y
40076,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,0015CJ0Y3UMW0HN,Y
40078,NATIONAL PARK MEDICAL CENTER,0015CXU35TXJ82Q,Y
40084,SALINE MEMORIAL HOSPITAL,0015CX1FLT3QKM3,Y
40088,SOUTH ARKANSAS REGIONAL HOSPITAL LLC,0015CR8535UDY24,Y
40114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,0015CJ0Y3UMW0HN,Y
40118,"BAPTIST MEMORIAL HOSPITAL JONESBORO, INC.",0015C5HKP92HQ7U,Y
40119,WHITE RIVER MEDICAL CENTER,0015C5CRE80MBV4,Y
40132,LEO N LEVI MEMORIAL HOSPITAL,,No
40134,"ARKANSAS HEART HOSPITAL, LLC",0015C5KQA8EDE40,Y
40137,ST VINCENT MEDICAL CENTER/NORTH,0015CU2LP5KVN3H,Y
40147,ARKANSAS SURGICAL HOSPITAL,0015CK8XP6T01K8,Y
40153,SOUTHWEST REGIONAL MEDICAL CENTER LLC,0015C28CYJ5LLF4,Y
40154,BAPTIST HEALTH MEDICAL CENTER- CONWAY,0015CJ0Y3UMW0HN,Y
40156,"BAPTIST MEMORIAL HOSPITAL-CRITTENDEN, INC",0015C5HKP92HQ7U,Y
40161,ARKANSAS HEART HOSPITAL-ENCORE,0015C5KQA8EDE40,Y
40164,UNITY HEALTH - JACKSONVILLE,,No
41300,MERCY HOSPITAL PARIS,0015C4J0ZKW5KKJ,Y
41302,DARDANELLE REGIONAL MEDICAL CENTER,0015C7KPC5GW1G3,Y
41303,MERCY HOSPITAL OZARK,0015C4J0ZKW5KKJ,Y
41305,MERCY HOSPITAL WALDRON,0015C4J0ZKW5KKJ,Y
41306,IZARD REGIONAL HOSPITAL LLC,0015CFG3Q10HY2V,Y
41307,CROSSRIDGE COMMUNITY HOSPITAL,0015CUB5R65YGA6,Y
41308,MCGEHEE HOSPITAL,0015CFG3Q10HY2V,Y
41309,LAWRENCE MEMORIAL HOSPITAL,0015CUB5R65YGA6,Y
41310,STONE COUNTY MEDICAL CENTER,0015C5CRE80MBV4,Y
41311,HOWARD MEMORIAL HOSPITAL,0015CRS51LEA95Z,Y
41312,BAPTIST HEALTH MEDICAL CENTER HEBER SPRINGS,0015CJ0Y3UMW0HN,Y
41313,OZARK HEALTH,0015C7URE9RTG1U,Y
41317,DALLAS COUNTY MEDICAL CENTER,,No
41318,MERCY HOSPITAL BOONEVILLE,0015C4J0ZKW5KKJ,Y
41320,LITTLE RIVER MEMORIAL HOSPITAL,0015CT0PPT32RH0,Y
41321,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,0015CJ0Y3UMW0HN,Y
41322,FULTON COUNTY HOSPITAL,,No
41323,ASHLEY COUNTY MEDICAL CENTER,0015CFG3Q10HY2V,No
41324,CHI ST VINCENT MORRILTON,0015CU2LP5KVN3H,Y
41326,DELTA MEMORIAL HOSPITAL,0015CFG3Q10HY2V,Y
41327,BRADLEY COUNTY MEDICAL CENTER,0015CFG3Q10HY2V,Y
41328,CHICOT MEMORIAL MEDICAL CENTER,0015CFG3Q10HY2V,Y
41329,MERCY HOSPITAL BERRYVILLE,0015C4J0ZKW5KKJ,Y
41330,PIGGOTT COMMUNITY HOSPITAL,0015CFG3Q10HY2V,Y
41331,OZARKS COMMUNITY HOSPITAL OF GRAVETTE,0015CP587BP0W9H,Y
41332,UNITY HEALTH - NEWPORT,,No
41333,SEVIER COUNTY MEDICAL CENTER,,No
43300,ARKANSAS CHILDREN'S HOSPITAL,,No
43301,"ARKANSAS CHILDREN'S NORTHWEST, INC",,No
50002,ST ROSE HOSPITAL,0015CE4ZXJ0FKT5,Y
50006,PROVIDENCE ST JOSEPH HOSPITAL,0015CCE123S5WK4,Y
50007,PENINSULA MEDICAL CENTER,0015C4J0ZKW5KKJ,Y
50008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,0015C4J0ZKW5KKJ,Y
50009,PROVIDENCE QUEEN OF THE VALLEY MEDICAL CENTER,0015CCE123S5WK4,Y
50013,ADVENTIST HEALTH ST HELENA,0015C157LEG45RH,Y
50014,SUTTER AMADOR HOSPITAL,0015C4J0ZKW5KKJ,Y
50017,MERCY GENERAL HOSPITAL,0015C2FVF76YBY1,Y
50022,RIVERSIDE COMMUNITY HOSPITAL,0015C622YQ4JDC3,Y
50024,PARADISE VALLEY HOSPITAL,0015CPN9PSL792F,Y
50025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,0015C8243MFV3V7,Y
50026,GROSSMONT HOSPITAL,0015C4M8199HQD9,Y
50028,MAD RIVER COMMUNITY HOSPITAL,0015CFG3Q10HY2V,Y
50030,OROVILLE HOSPITAL,0015CUM4DML93MD,Y
50036,BAKERSFIELD MEMORIAL HOSPITAL,0015C2FVF76YBY1,Y
50038,SANTA CLARA VALLEY MEDICAL CENTER,0015C8XCN16R6V5,Y
50039,ENLOE HEALTH,0015CHL24QZ8GAF,Y
50040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,0015CGA18HTL43R,Y
50042,ST ELIZABETH COMMUNITY HOSPITAL,0015C2FVF76YBY1,Y
50043,ALTA BATES SUMMIT MEDICAL CENTER,0015C4J0ZKW5KKJ,Y
50045,EL CENTRO REGIONAL MEDICAL CENTER,,No
50047,CALIFORNIA PACIFIC MEDICAL CENTER- VAN NESS CAMPUS,0015C4J0ZKW5KKJ,Y
50054,SAN GORGONIO MEMORIAL HOSPITAL,0015CG8HB6AJX7E,Y
50055,CALIFORNIA PACIFIC MEDICAL CENTER - MISSION BERNAL,0015C4J0ZKW5KKJ,Y
50056,ANTELOPE VALLEY HOSPITAL,0015CKD4R73KP61,Y
50057,KAWEAH HEALTH MEDICAL CENTER,0015CQB8ZM93KD6,Y
50058,GLENDALE MEM HOSPITAL & HLTH CENTER,0015C2FVF76YBY1,Y
50060,COMMUNITY REGIONAL MEDICAL CENTER,0015CYT94LS81XV,Y
50063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,,No
50067,OAK VALLEY HOSPITAL DISTRICT,0015CXV6SXC82UZ,No
50069,PROVIDENCE ST. JOSEPH HOSPITAL,0015CCE123S5WK4,Y
50070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,0015CBA2R7RYM5R,Y
50071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,0015CBA2R7RYM5R,Y
50072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,0015CBA2R7RYM5R,Y
50073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,0015CBA2R7RYM5R,Y
50075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,0015CBA2R7RYM5R,Y
50076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,0015CBA2R7RYM5R,Y
50077,SCRIPPS MERCY HOSPITAL,0015CWW3R9FPD02,Y
50078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,0015CCE123S5WK4,Y
50082,ST JOHNS REGIONAL MEDICAL CENTER,0015C2FVF76YBY1,Y
50084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,0015C2FVF76YBY1,Y
50089,COMMUNITY HOSPITAL OF SAN BERNARDINO,0015C2FVF76YBY1,Y
50090,SONOMA VALLEY HOSPITAL,0015CVU25PD3Q5Q,Y
50091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,0015CQZ3GL3N8TR,Y
50093,SAINT AGNES MEDICAL CENTER,0015C8XCN16R6V5,Y
50099,SAN ANTONIO REGIONAL HOSPITAL,0015CP0A87E25HC,Y
50100,SHARP MEMORIAL HOSPITAL,0015C4M8199HQD9,Y
50101,SUTTER SOLANO MEDICAL CENTER,0015C4J0ZKW5KKJ,Y
50102,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,0015CFG3Q10HY2V,No
50103,ADVENTIST HEALTH WHITE MEMORIAL,0015CRK3JSF2G8R,Y
50104,SAINT FRANCIS MEDICAL CENTER,0015C4H2WUK0S3A,Y
50107,MARIAN REGIONAL MEDICAL CENTER,0015C2FVF76YBY1,Y
50108,"SUTTER MEDICAL CENTER, SACRAMENTO",0015C4J0ZKW5KKJ,Y
50110,LOMPOC VALLEY MEDICAL CENTER,0015CW4VMW3NMY3,Y
50112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,0015C92F81YS48A,Y
50113,SAN MATEO MEDICAL CENTER,,No
50115,PALOMAR HEALTH DOWNTOWN CAMPUS,0015CYU98BFS719,Y
50116,NORTHRIDGE HOSPITAL MEDICAL CENTER,0015C2FVF76YBY1,Y
50118,DOCTORS HOSPITAL OF MANTECA,0015CLT8S0A3MT6,Y
50121,ADVENTIST HEALTH HANFORD,0015C157LEG45RH,Y
50122,DAMERON HOSPITAL,,No
50124,USC VERDUGO HILLS HOSPITAL,0015CXJ3MV2DVH6,Y
50125,REGIONAL MEDICAL CENTER OF SAN JOSE,0015C622YQ4JDC3,Y
50126,VALLEY PRESBYTERIAN HOSPITAL,0015CPP8ZGY624Z,Y
50127,WOODLAND MEMORIAL HOSPITAL,0015C2FVF76YBY1,Y
50128,TRI-CITY MEDICAL CENTER,0015C80E18RAW4X,Y
50129,ST BERNARDINE MEDICAL CENTER,0015C2FVF76YBY1,Y
50131,NOVATO COMMUNITY HOSPITAL,0015C4J0ZKW5KKJ,Y
50132,SAN GABRIEL VALLEY MEDICAL CENTER,0015C7URE9RTG1U,Y
50133,ADVENTIST HEALTH AND RIDEOUT,0015C157LEG45RH,Y
50135,SOUTHERN CALIFORNIA HOSPITAL AT HOLLYWOOD,,No
50136,PETALUMA VALLEY HOSPITAL,0015CCE123S5WK4,Y
50137,KAISER FOUNDATION HOSPITAL - PANORAMA CITY,0015CBA2R7RYM5R,Y
50138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,0015CBA2R7RYM5R,Y
50139,KAISER FOUNDATION HOSPITAL - DOWNEY,0015CBA2R7RYM5R,Y
50140,KAISER FOUNDATION HOSPITAL FONTANA/ONTARIO,0015CBA2R7RYM5R,Y
