name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information
OnePoint Patient Care,AZ,Healthcare Provider,1741152.0,10/14/2024,Hacking/IT Incident,Network Server
"Cheasapeake Regional Information System for our Patients, Inc. (CRISP)",MD,Business Associate,8008.0,10/11/2024,Unauthorized Access/Disclosure,Electronic Medical Record
miCare Health Center ,MT,Healthcare Provider,2766.0,10/11/2024,Hacking/IT Incident,Email
"Easter Seals DC | MD | VA, Inc.",MD,Healthcare Provider,584.0,10/4/2024,Hacking/IT Incident,Email
"Long Island Plastic Surgical Group, P.C.",NY,Healthcare Provider,161707.0,10/4/2024,Hacking/IT Incident,Network Server
"Seven Counties Services, Inc.",KY,Healthcare Provider,132609.0,10/4/2024,Hacking/IT Incident,Email
Judge Rotenberg Educational Center,MA,Healthcare Provider,2579.0,10/3/2024,Hacking/IT Incident,Network Server
Hafetz and Associates ,NJ,Business Associate,26474.0,9/27/2024,Hacking/IT Incident,Email
 CF Medical,GA,Business Associate,242200.0,9/26/2024,Hacking/IT Incident,Network Server
Holistix Treatment Center LLC d/b/a We Level Up Treatment Lake Worth,FL,Healthcare Provider,6567.0,9/24/2024,Hacking/IT Incident,Network Server
Jefferson PA Heart and Vascular,PA,Healthcare Provider,755.0,9/18/2024,Unauthorized Access/Disclosure,Paper/Films
La Liga Puertorriquena Contra El Cancer DBA Hospital OncolÃ³gico,,Healthcare Provider,4590.0,9/16/2024,Hacking/IT Incident,Email
"Access Ambulatory Surgery Center, LLC",NH,Healthcare Provider,5205.0,9/12/2024,Hacking/IT Incident,Network Server
"Richland County, WI",WI,Healthcare Provider,76365.0,9/9/2024,Hacking/IT Incident,Network Server
Centers for Medicare & Medicaid Services,MD,Health Plan,3112815.0,9/6/2024,Hacking/IT Incident,Network Server
Guam Seventh-Day Adventist Clinic ,,Healthcare Provider,56635.0,9/6/2024,Hacking/IT Incident,Email
"United Way of Connecticut, Inc.",CT,Business Associate,8039.0,9/3/2024,Hacking/IT Incident,Email
"Service Access & Management, Inc.",PA,Healthcare Provider,1450.0,9/2/2024,Hacking/IT Incident,Network Server
Washoe County School District,NV,Health Plan,1017.0,8/30/2024,Hacking/IT Incident,Network Server
"Illinois Bone & Joint Institute, LLC",IL,Healthcare Provider,665321.0,8/30/2024,Hacking/IT Incident,Network Server
Goodwin Living Incorporated ,VA,Healthcare Provider,7170.0,8/29/2024,Hacking/IT Incident,Email
Panoramic Health,AZ,Business Associate,6228.0,8/28/2024,Hacking/IT Incident,Email
Compass Healthcare & Rehab Rowan LLC,NC,Healthcare Provider,1381.0,8/26/2024,Hacking/IT Incident,Email
Okanogan Behavioral HealthCare,WA,Healthcare Provider,26429.0,8/23/2024,Hacking/IT Incident,Network Server
Florida Department of Health ,FL,Healthcare Provider,729699.0,8/23/2024,Hacking/IT Incident,Network Server
"Connecticut GI, PLLC",CT,Healthcare Provider,46354.0,8/19/2024,Hacking/IT Incident,Network Server
"HAH Group Holding Company, LLC d/b/a â€œHelp At Home""",IL,Healthcare Provider,26744.0,8/18/2024,Hacking/IT Incident,Network Server
"Baker Places, Inc.",CA,Business Associate,971.0,8/16/2024,Hacking/IT Incident,Email
Vasinda's Around the Clock Care dba ATC Home Care ,CA,Healthcare Provider,30819.0,8/16/2024,Hacking/IT Incident,Network Server
Behavioral Health Alliance of Rural Pennsylvania ,PA,Health Plan,642.0,8/16/2024,Hacking/IT Incident,Email
Fairfield Memorial Hospital Association,IL,Healthcare Provider,25093.0,8/15/2024,Hacking/IT Incident,Network Server
Packaging Corporation of America,IL,Health Plan,783.0,8/15/2024,Hacking/IT Incident,Network Server
United Urology Group,MD,Business Associate,10704.0,8/14/2024,Hacking/IT Incident,Network Server
University of Connecticut Health Center Finance Corporation,CT,Healthcare Provider,1123.0,8/13/2024,Hacking/IT Incident,Email
Julie D. Kinsler DDS LLC dba Kinsler Family Dentistry,IN,Healthcare Provider,5500.0,8/12/2024,Hacking/IT Incident,Network Server
Monte Nido,FL,Healthcare Provider,41662.0,8/9/2024,Hacking/IT Incident,Network Server
The Facial Pain Center ,MN,Healthcare Provider,1894.0,8/9/2024,Hacking/IT Incident,Email
PG Dental d/b/a Aire Dental Arts,NY,Healthcare Provider,10200.0,8/9/2024,Hacking/IT Incident,Network Server
Harborview Oral & Facial Surgery Center,MS,Healthcare Provider,3472.0,8/8/2024,Hacking/IT Incident,Network Server
Hamilton-Madison House,NY,Healthcare Provider,1114.0,8/2/2024,Hacking/IT Incident,Network Server
"PRM Management Company, Inc.",FL,Healthcare Provider,3359.0,8/2/2024,Hacking/IT Incident,Email
Providence Pediatrics Manito ,WA,Healthcare Provider,1166.0,8/1/2024,Unauthorized Access/Disclosure,Paper/Films
"Advantage Orthopedic & Sports Medicine, LLP",OR,Healthcare Provider,1914.0,7/29/2024,Hacking/IT Incident,Network Server
NeighborHealth,MA,Healthcare Provider,526.0,7/26/2024,Unauthorized Access/Disclosure,Paper/Films
"AMERICAN CLINICAL SOLUTIONS, LLC",FL,Healthcare Provider,300000.0,7/24/2024,Hacking/IT Incident,Network Server
Allcare Medical Management Incorporated,CA,Business Associate,16378.0,7/22/2024,Hacking/IT Incident,Email
Arisa Health Incorporated,AR,Healthcare Provider,375436.0,7/19/2024,Hacking/IT Incident,Network Server
"Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network",NH,Healthcare Provider,136724.0,7/19/2024,Hacking/IT Incident,Network Server
"Franklin County, Kansas",KS,Healthcare Provider,10263.0,7/19/2024,Hacking/IT Incident,Network Server
"Kaiser Foundation Hospitals, Northern California and The Permanente Medical Group, Inc. ",CA,Healthcare Provider,3435.0,7/15/2024,Unauthorized Access/Disclosure,Electronic Medical Record
The North Cottage Program,MA,Healthcare Provider,8190.0,7/15/2024,Hacking/IT Incident,Network Server
"Aveanna Healthcare, LLC",GA,Healthcare Provider,10482.0,7/12/2024,Unauthorized Access/Disclosure,Email
New Jersey Oral & Maxillofacial Surgery ,NJ,Healthcare Provider,74413.0,7/12/2024,Hacking/IT Incident,Network Server
"Family Dynamics Counseling Services, Inc. ",WA,Healthcare Provider,4373.0,7/11/2024,Hacking/IT Incident,Network Server
Janna Pharmacy LLC,CA,Healthcare Provider,26372.0,7/10/2024,Unauthorized Access/Disclosure,Email
"Johnson & Associates, Inc.",MT,Business Associate,4600.0,7/10/2024,Hacking/IT Incident,Other
"The Medibase Group, Inc.  ",GA,Business Associate,117957.0,7/5/2024,Hacking/IT Incident,Network Server
Sheet Metal Workers Local Union #83 Insurance Fund and Annuity Fund,NY,Health Plan,2184.0,7/3/2024,Hacking/IT Incident,Email
Aultman Hospital,OH,Healthcare Provider,6892.0,7/3/2024,Hacking/IT Incident,Email
"Maryville, Inc.",NJ,Healthcare Provider,24827.0,7/3/2024,Hacking/IT Incident,Email
"Marana Health Center, Inc.",AZ,Health Plan,542.0,7/2/2024,Unauthorized Access/Disclosure,Email
AmeriHealth Caritas Delaware,DE,Health Plan,2823.0,7/1/2024,Hacking/IT Incident,Network Server
"Human Technology Inc., and its affiliates ",TN,Healthcare Provider,24580.0,7/1/2024,Hacking/IT Incident,Network Server
SkinCure Oncology,IL,Business Associate,13434.0,6/28/2024,Hacking/IT Incident,Email
Mass General Brigham Health Plan,MA,Health Plan,3659.0,6/28/2024,Unauthorized Access/Disclosure,Other
Mass General Brigham Incorporated ,MA,Healthcare Provider,655.0,6/28/2024,Unauthorized Access/Disclosure,"Electronic Medical Record, Other"
"Samaritan Health Services, Inc.",OR,Healthcare Provider,1296.0,6/27/2024,Unauthorized Access/Disclosure,Electronic Medical Record
Memorial Sloan Kettering Cancer Center,NY,Healthcare Provider,12274.0,6/25/2024,Hacking/IT Incident,Email
The Mount Kisco Surgery Center LLC d/b/a The Ambulatory Surgery Center of Westchester,NY,Healthcare Provider,22139.0,6/25/2024,Hacking/IT Incident,Email
"MD Now Medical Centers, Inc. ",FL,Healthcare Provider,150560.0,6/25/2024,Hacking/IT Incident,Network Server
Pinnacle Orthopaedics & Sports Medicine Specialists LLC,GA,Healthcare Provider,1100.0,6/21/2024,Hacking/IT Incident,Network Server
Aultman Hospital,OH,Healthcare Provider,26206.0,6/21/2024,Hacking/IT Incident,Email
"Mobile Medical Response, Inc.",MI,Healthcare Provider,700.0,6/21/2024,Theft,Paper/Films
County of Los Angeles Department of Health Services,CA,Healthcare Provider,41444.0,6/21/2024,Hacking/IT Incident,Email
"Ambulnz Holdings, LLC",NY,Healthcare Provider,43773.0,6/21/2024,Hacking/IT Incident,Network Server
Access Sports Medicine & Orthopaedics,NH,Healthcare Provider,88044.0,6/20/2024,Hacking/IT Incident,Network Server
Zwanger-Pesiri Radiology,NY,Healthcare Provider,985.0,6/18/2024,Unauthorized Access/Disclosure,Paper/Films
OB GYN Specialists of Lima Inc,OH,Healthcare Provider,1241.0,6/17/2024,Improper Disposal,Paper/Films
Kaiser Foundation Health Plan of Northwest ,OR,Health Plan,578.0,6/14/2024,Unauthorized Access/Disclosure,Paper/Films
Consulting Radiologists LTD.,MN,Healthcare Provider,583824.0,6/14/2024,Hacking/IT Incident,Network Server
Heart South Cardiovascular Group,AL,Healthcare Provider,20577.0,6/13/2024,Hacking/IT Incident,Network Server
"Aptihealth, Inc.",NY,Healthcare Provider,19805.0,6/12/2024,Hacking/IT Incident,Network Server
Benefit Management LLC,KS,Business Associate,8777.0,6/12/2024,Hacking/IT Incident,Email
WAREHOUSE EMPLOYEES LOCAL 169 CONTRIBUTING EMPLOYERS HEALTH & WELFARE FUND,PA,Health Plan,1061.0,6/11/2024,Hacking/IT Incident,Network Server
Looking Glass Counseling,MA,Healthcare Provider,2739.0,6/10/2024,Unauthorized Access/Disclosure,Network Server
IACT Health,GA,Healthcare Provider,676.0,6/6/2024,Hacking/IT Incident,Network Server
"Angels Neurological Centers, P.C.",MA,Healthcare Provider,934.0,6/5/2024,Hacking/IT Incident,Electronic Medical Record
"Financial Business and Consumer Solutions, Inc.",PA,Business Associate,117567.0,6/4/2024,Hacking/IT Incident,Network Server
Mending Minds LLC dba Walnut Creek Psychiatry,IA,Healthcare Provider,733.0,6/1/2024,Unauthorized Access/Disclosure,Electronic Medical Record
Adventist Health Tulare,CA,Healthcare Provider,70802.0,5/31/2024,Hacking/IT Incident,Network Server
Delta Specialty Hospital,TN,Healthcare Provider,1998.0,5/31/2024,Hacking/IT Incident,Email
"Crestwyn Behavioral Health Hospital, Inc.",TN,Healthcare Provider,1757.0,5/31/2024,Hacking/IT Incident,Email
"Boston IVF, LLC",MA,Healthcare Provider,604.0,5/30/2024,Unauthorized Access/Disclosure,Paper/Films
"Lakeview Health Systems, LLC",FL,Healthcare Provider,10772.0,5/29/2024,Hacking/IT Incident,Network Server
Orchard Park Fire District EMS,NY,Healthcare Provider,2089.0,5/29/2024,Hacking/IT Incident,Email
"Fora Health, Inc.",OR,Healthcare Provider,1568.0,5/28/2024,Hacking/IT Incident,Email
"Florida Digestive Health Specialists, LLP",FL,Healthcare Provider,3205.0,5/27/2024,Hacking/IT Incident,Network Server
"iCircle Services of the Finger Lakes, Inc.",NY,Health Plan,3414.0,5/24/2024,Hacking/IT Incident,Email
Moffitt Cancer Center and Research Institute,FL,Healthcare Provider,756.0,5/24/2024,Unauthorized Access/Disclosure,Other
University of Chicago Medical Center,IL,Healthcare Provider,10332.0,5/24/2024,Hacking/IT Incident,Email
"ALN Medical Management, LLC",NE,Business Associate,1323720.0,5/23/2024,Hacking/IT Incident,Network Server
Summit Healthcare Regional Medical Center,AZ,Healthcare Provider,905.0,5/23/2024,Unauthorized Access/Disclosure,Electronic Medical Record
McLean Hospital,MA,Healthcare Provider,2231.0,5/21/2024,Unauthorized Access/Disclosure,Email
County of Los Angeles Department of Mental Health ,CA,Healthcare Provider,1598.0,5/20/2024,Hacking/IT Incident,Network Server
"Call 4 Health, Inc.",FL,Business Associate,10434.0,5/17/2024,Hacking/IT Incident,Network Server
"Brockton Area Multi Services, Inc.",MA,Healthcare Provider,21537.0,5/16/2024,Hacking/IT Incident,Network Server
Tobii Dynavox,PA,Healthcare Provider,1098.0,5/14/2024,Hacking/IT Incident,Email
Badalamenti-Ferlito Orthodontics,MI,Healthcare Provider,1427.0,5/14/2024,Unauthorized Access/Disclosure,Email
"TimeDoc, Inc",IL,Business Associate,1894.0,5/13/2024,Theft,Laptop
Children's Health Care,MN,Healthcare Provider,24183.0,5/10/2024,Hacking/IT Incident,Email
Precision Medical Products Inc.,CA,Healthcare Clearing House,1094.0,5/9/2024,Hacking/IT Incident,Email
Delta Specialty Hospital,TN,Healthcare Provider,1019.0,5/8/2024,Unauthorized Access/Disclosure,Email
The Kennedy Collective,CT,Healthcare Provider,851.0,5/7/2024,Hacking/IT Incident,Email
Allina Health System,MN,Healthcare Provider,715.0,5/6/2024,Unauthorized Access/Disclosure,Electronic Medical Record
Columbia University Irving Medical Center,NY,Healthcare Provider,29629.0,5/6/2024,Unauthorized Access/Disclosure,Network Server
Redwood Coast Regional Center,CA,Healthcare Provider,24937.0,5/3/2024,Hacking/IT Incident,Network Server
Panoramic Health,AZ,Business Associate,5445.0,5/3/2024,Hacking/IT Incident,Email
"Affiliated Dermatologists and Dermatologic Surgeons, P.A.",NJ,Healthcare Provider,373680.0,5/3/2024,Hacking/IT Incident,Network Server
Aetna ACE,CT,Health Plan,9191.0,5/3/2024,Hacking/IT Incident,Network Server
"MedStar Health, Inc.",MD,Healthcare Provider,183079.0,5/3/2024,Hacking/IT Incident,Email
Grayson & Associates,AL,Healthcare Provider,573.0,5/3/2024,Hacking/IT Incident,Network Server
Marpai Health,NY,Healthcare Provider,1129.0,5/2/2024,Hacking/IT Incident,Email
Merchants Benefit Administration,AZ,Health Plan,767.0,4/30/2024,Hacking/IT Incident,Email
"Allergy Medical Group of the North Area, Inc.",CA,Healthcare Provider,6934.0,4/29/2024,Hacking/IT Incident,Network Server
Inland Physicians Billing Services,CA,Healthcare Clearing House,77434.0,4/27/2024,Hacking/IT Incident,Network Server
"Guardant Health, Inc.",CA,Healthcare Provider,9309.0,4/26/2024,Unauthorized Access/Disclosure,Network Server
OrthoConnecticut PLLC,CT,Healthcare Provider,178742.0,4/26/2024,Hacking/IT Incident,Network Server
Aspire Health Alliance,MA,Healthcare Provider,17490.0,4/26/2024,Hacking/IT Incident,Network Server
Bay Oral Surgery & Implant Center,WI,Healthcare Provider,13055.0,4/26/2024,Hacking/IT Incident,Email
County of Los Angeles Departments of Health Services and Public Health,CA,Healthcare Provider,252856.0,4/25/2024,Hacking/IT Incident,Email
Moffitt Cancer Center and Research Institute,FL,Healthcare Provider,26577.0,4/24/2024,Hacking/IT Incident,Network Server
Cape Fear Aesthetics,NC,Healthcare Provider,1165.0,4/23/2024,Hacking/IT Incident,Network Server
Blackstone Valley Community Health Care,RI,Healthcare Provider,34518.0,4/22/2024,Hacking/IT Incident,Network Server
The Georgia Institute for Plastic Surgery,GA,Healthcare Provider,8111.0,4/22/2024,Hacking/IT Incident,Network Server
Health First Urgent Care PLLC,WA,Healthcare Provider,4169.0,4/22/2024,Unauthorized Access/Disclosure,Network Server
Bluebonnet Trails Community Services,TX,Healthcare Provider,76165.0,4/22/2024,Hacking/IT Incident,Email
"Advarra, Inc.",MD,Business Associate,596.0,4/19/2024,Hacking/IT Incident,Email
Green Diamond Resource Company,WA,Health Plan,8172.0,4/19/2024,Hacking/IT Incident,Network Server
Montgomery County Board of Developmental Disabilities Services,OH,Business Associate,8819.0,4/18/2024,Hacking/IT Incident,Network Server
"Tobin, Carberry, O'Malley, Riley & Selinger, P.C.",CT,Business Associate,47106.0,4/17/2024,Hacking/IT Incident,Network Server
Philips Respironics,PA,Business Associate,1338.0,4/16/2024,Hacking/IT Incident,Network Server
Philips Respironics,PA,Business Associate,7539.0,4/16/2024,Hacking/IT Incident,Network Server
Philips Respironics,PA,Business Associate,5576.0,4/16/2024,Hacking/IT Incident,Network Server
"Moveable Feast, Inc.",MD,Healthcare Provider,568.0,4/16/2024,Improper Disposal,Paper/Films
MHNU Corporation d/b/a Medical Home Network,IL,Business Associate,681.0,4/16/2024,Hacking/IT Incident,Email
Dental Health Services,CA,Health Plan,4562.0,4/16/2024,Unauthorized Access/Disclosure,Email
"Dental Health Services, Inc",WA,Health Plan,1778.0,4/16/2024,Unauthorized Access/Disclosure,Email
Somerset Dental  ,NV,Healthcare Provider,11321.0,4/16/2024,Hacking/IT Incident,Network Server
Catholic Medical Center,NH,Healthcare Provider,2792.0,4/15/2024,Hacking/IT Incident,Email
American Healthcare Systems LLC dba Randolph Health ,NC,Healthcare Provider,899.0,4/10/2024,Hacking/IT Incident,Email
CompuNet Clinical Laboratories,OH,Healthcare Provider,6963.0,4/10/2024,Unauthorized Access/Disclosure,Other Portable Electronic Device
"Spurwink Services, Inc.",MS,Healthcare Provider,27332.0,4/9/2024,Hacking/IT Incident,Network Server
The Epilepsy Foundation of Metro New York,NY,Healthcare Provider,3852.0,4/8/2024,Hacking/IT Incident,Network Server
"BlueCross BlueShield of Tennessee, Inc. ",TN,Business Associate,717.0,4/5/2024,Unauthorized Access/Disclosure,Network Server
Zuckerberg San Francisco General Hospital and Trauma Center,CA,Healthcare Provider,754.0,4/4/2024,Loss,Paper/Films
"Politzer and Durocher, PLC d/b/a Optometric Physicians of Middle Tennessee",TN,Healthcare Provider,24996.0,4/4/2024,Hacking/IT Incident,Network Server
Cattaraugus-Allegany Board of Cooperative Education Services,NY,Business Associate,15203.0,4/4/2024,Hacking/IT Incident,Network Server
Advanced Care Hospital of Montana,MT,Healthcare Provider,2331.0,4/2/2024,Hacking/IT Incident,Network Server
South Texas Rehabilitation Hospital,TX,Healthcare Provider,4130.0,3/29/2024,Hacking/IT Incident,Network Server
"HCF of Fairview Inc. (""Fairview Manor"")",PA,Healthcare Provider,2935.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Edinboro Inc. (""Edinboro Manor"")",PA,Healthcare Provider,2844.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Crestview Inc. (""Village at the Greene"")",OH,Healthcare Provider,1944.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Court House Inc. (""St. Catherine's Manor of Washington Court House"")",OH,Healthcare Provider,3012.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Corry Inc. (""Corry Manor"")",PA,Healthcare Provider,2620.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Celina Inc. (""Celina Manor"")",OH,Healthcare Provider,2321.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Briarwood Inc. (""Briarwood Village"")",OH,Healthcare Provider,2650.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Bradford Inc. (""Bradford Manor"")",PA,Healthcare Provider,1565.0,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Bowling Green, Inc. (""Bowling Green Manor"")",OH,Healthcare Provider,3500.0,1/9/2025,Hacking/IT Incident,Network Server
"LifeBridge Health, Inc",MD,Healthcare Provider,25895.0,1/8/2025,Hacking/IT Incident,Email
"TruBridge, Inc. ",AL,Business Associate,3855.0,1/4/2025,Hacking/IT Incident,Email
Sidney Health Center,MT,Healthcare Provider,1370.0,1/3/2025,Unauthorized Access/Disclosure,Email
"Center for Child Development, INC",DE,Healthcare Provider,540.0,1/2/2025,Unauthorized Access/Disclosure,Email
Judge Baker Childrenâ€™s Center dba The Baker Center for Children and Families,MA,Healthcare Provider,2715.0,12/27/2024,Hacking/IT Incident,Network Server
Lexington Diagnostic Center,KY,Healthcare Provider,29819.0,12/24/2024,Hacking/IT Incident,Network Server
"VisionPoint Eye Center, PLLC ",IL,Healthcare Provider,66926.0,12/15/2024,Hacking/IT Incident,Network Server
Brockton Neighborhood Health Center,MA,Healthcare Provider,97488.0,12/13/2024,Hacking/IT Incident,Network Server
Insured Recovery,TN,Healthcare Provider,850.0,12/11/2024,Hacking/IT Incident,Network Server
Veterans Health Administration,DC,Healthcare Provider,2302.0,12/3/2024,Hacking/IT Incident,Network Server
"FC Compassus, LLC",TN,Healthcare Provider,2703.0,12/2/2024,Hacking/IT Incident,Email
