<<<<<<< HEAD
facility_id,facility_name,address,state,zip_code,hospital_ownership,hospital_overall_rating,count_of_mort_measures_better,count_of_safety_measures_better,count_of_readm_measures_better
10045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,AL,35555,Voluntary non-profit - Other,4.0,0.0,0.0,0.0
10046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,AL,35901,Proprietary,3.0,0.0,2.0,0.0
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,AL,36330,Proprietary,2.0,0.0,0.0,0.0
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,AL,35462,Voluntary non-profit - Other,0.0,0.0,0.0,0.0
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,AL,36853,Proprietary,0.0,0.0,0.0,0.0
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,AL,36302,Proprietary,2.0,0.0,2.0,0.0
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,AL,35205,Voluntary non-profit - Private,4.0,0.0,4.0,1.0
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,AL,35042,Government - Hospital District or Authority,0.0,0.0,0.0,0.0
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,AL,35650,Government - Hospital District or Authority,0.0,0.0,0.0,0.0
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,AL,35768,Government - Hospital District or Authority,2.0,0.0,0.0,0.0
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,AL,36340,Government - Hospital District or Authority,0.0,0.0,0.0,0.0
10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,AL,35010,Voluntary non-profit - Private,4.0,0.0,0.0,0.0
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,AL,36251,Government - Hospital District or Authority,0.0,0.0,0.0,0.0
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,AL,36207,Government - Local,2.0,0.0,1.0,0.0
10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,AL,35611,Government - Hospital District or Authority,2.0,0.0,0.0,0.0
10083,BALDWIN HEALTH,1613 NORTH MCKENZIE STREET,AL,36535,Proprietary,5.0,0.0,1.0,2.0
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,AL,35601,Government - Hospital District or Authority,3.0,0.0,2.0,0.0
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,AL,35594,Proprietary,3.0,0.0,0.0,0.0
10087,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,AL,36617,Government - State,3.0,0.0,3.0,0.0
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,AL,35502,Proprietary,2.0,0.0,1.0,0.0
10090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",6801 AIRPORT BOULEVARD,AL,36608,Voluntary non-profit - Church,3.0,0.0,2.0,1.0
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,AL,36451,Government - Hospital District or Authority,0.0,0.0,0.0,0.0
10092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,AL,35401,Government - Hospital District or Authority,1.0,0.0,2.0,0.0
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,AL,36744,Government - Hospital District or Authority,0.0,0.0,0.0,0.0
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,AL,36092,Proprietary,0.0,0.0,0.0,0.0
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,AL,36426,Government - Hospital District or Authority,0.0,0.0,0.0,1.0
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,AL,36532,Voluntary non-profit - Private,3.0,0.0,1.0,0.0
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,AL,35160,Voluntary non-profit - Private,0.0,0.0,0.0,0.0
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,AL,36726,Government - Local,0.0,0.0,0.0,0.0
10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,AL,35211,Voluntary non-profit - Church,3.0,0.0,3.0,0.0
10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,AL,35243,Proprietary,2.0,0.0,1.0,0.0
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,AL,36067,Government - Hospital District or Authority,4.0,0.0,1.0,0.0
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,AL,36089,Proprietary,0.0,0.0,0.0,0.0
10112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,AL,36732,Government - Hospital District or Authority,0.0,0.0,0.0,0.0
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,AL,36607,Voluntary non-profit - Private,3.0,0.0,2.0,0.0
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,AL,35022,Government - Hospital District or Authority,2.0,0.0,0.0,0.0
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,AL,36701,Proprietary,3.0,0.0,0.0,0.0
10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,AL,36460,Government - Hospital District or Authority,0.0,0.0,0.0,0.0
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,AL,35565,Proprietary,5.0,0.0,0.0,0.0
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,AL,36081,Government - Federal,0.0,0.0,0.0,0.0
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,AL,36545,Proprietary,0.0,0.0,0.0,0.0
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,AL,36507,Voluntary non-profit - Private,0.0,0.0,0.0,0.0
10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,AL,35125,Voluntary non-profit - Private,2.0,0.0,0.0,0.0
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,AL,35801,Proprietary,3.0,0.0,1.0,1.0
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,AL,36925,Government - Hospital District or Authority,0.0,0.0,0.0,0.0
10139,BROOKWOOD BAPTIST MEDICAL CENTER,1280 COLUMBIANA ROAD STE 102,AL,35216,Proprietary,2.0,0.0,1.0,0.0
10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,AL,36608,Proprietary,2.0,0.0,2.0,0.0
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,AL,36401,Proprietary,1.0,0.0,0.0,0.0
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,AL,36117,Government - Hospital District or Authority,3.0,0.0,2.0,0.0
01014F,BIRMINGHAM VA MEDICAL CENTER,700 SOUTH 19TH STREET,AL,35233,Veterans Health Administration,3.0,2.0,0.0,1.0
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,29 L V STABLER DRIVE,AL,36037,Proprietary,0.0,0.0,0.0,0.0
10157,NORTH ALABAMA SHOALS HOSPITAL,201 WEST AVALON AVENUE,AL,35661,Proprietary,0.0,0.0,0.0,0.0
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,AL,35653,Proprietary,0.0,0.0,0.0,0.0
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,AL,35150,Government - Hospital District or Authority,4.0,0.0,1.0,0.0
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,AL,36867,Government - State,3.0,0.0,0.0,0.0
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,AL,36502,Government - Hospital District or Authority,0.0,0.0,0.0,0.0
10173,ST VINCENT'S CHILTON,2030 LAY DAM ROAD,AL,35045,Voluntary non-profit - Church,0.0,0.0,0.0,0.0
10174,THOMASVILLE REGIONAL MEDICAL CENTER LLC,300 MED PARK DRIVE,AL,36784,Voluntary non-profit - Private,0.0,0.0,0.0,0.0
10175,EAMC-LANIER,4800 48TH STREET,AL,36854,Government - Hospital District or Authority,0.0,0.0,0.0,0.0
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,AL,36109,Veterans Health Administration,5.0,0.0,0.0,0.0
01021F,TUSCALOOSA VA MEDICAL CENTER,3701 LOOP ROAD EAST,AL,35404,Veterans Health Administration,0.0,0.0,0.0,0.0
11300,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,AL,36518,Government - Local,0.0,0.0,0.0,0.0
11302,RED BAY HOSPITAL,211 HOSPITAL ROAD,AL,35582,Government - Hospital District or Authority,0.0,0.0,0.0,0.0
11304,OCHSNER CHOCTAW GENERAL,"401 VANITY FAIR LANE, PO BOX 618",AL,36904,Voluntary non-profit - Private,0.0,0.0,0.0,0.0
11305,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,AL,35121,Voluntary non-profit - Private,0.0,0.0,0.0,0.0
11306,TANNER MEDICAL CENTER-EAST ALABAMA,1032 MAIN STREET SOUTH,AL,36278,Government - Hospital District or Authority,0.0,0.0,0.0,0.0
11307,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,AL,36027,Government - Hospital District or Authority,0.0,0.0,0.0,0.0
13300,THE CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,AL,35233,Voluntary non-profit - Private,0.0,0.0,0.0,0.0
13301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,1700 CENTER STREET,AL,36604,Government - State,0.0,0.0,0.0,0.0
14000,HILL CREST BEHAVIORAL HEALTH SERVICES,6869 FIFTH AVENUE SOUTH,AL,35212,Proprietary,0.0,0.0,0.0,0.0
14006,MOUNTAIN VIEW HOSPITAL,3201 SCENIC HIGHWAY,AL,35902,Proprietary,0.0,0.0,0.0,0.0
14007,BRYCE HOSPITAL,1651 RUBY TYLER PKWY,AL,35404,Government - State,0.0,0.0,0.0,0.0
14012,MARY S HARPER GERIATRIC PSYCHIATRY CENTER,201 UNIVERSITY BLVD,AL,35401,Government - State,0.0,0.0,0.0,0.0
14014,BAYPOINTE BEHAVIORAL HEALTH,5800 SOUTHLAND DRIVE,AL,36693,Voluntary non-profit - Other,0.0,0.0,0.0,0.0
14015,BEACON CHILDREN'S HOSPITAL,150 HOSPITAL DRIVE,AL,36049,Proprietary,0.0,0.0,0.0,0.0
14016,"SANCTUARY AT THE WOODLANDS, THE","1910 CHEROKEE AVENUE, SW",AL,35055,Proprietary,0.0,0.0,0.0,0.0
14017,EASTPOINTE HOSPITAL,7400 ROPER LANE,AL,36526,Voluntary non-profit - Other,0.0,0.0,0.0,0.0
14018,UNITY PSYCHIATRIC CARE - HUNTSVILLE,"5315 MILLENIUM DRIVE, NW",AL,35806,Proprietary,0.0,0.0,0.0,0.0
20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,AK,99508,Voluntary non-profit - Church,3.0,0.0,2.0,1.0
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,AK,99645,Voluntary non-profit - Other,3.0,0.0,1.0,1.0
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,AK,99801,Government - Local,4.0,0.0,0.0,0.0
20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,AK,99701,Voluntary non-profit - Private,2.0,0.0,1.0,1.0
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,AK,99508,Proprietary,2.0,0.0,2.0,0.0
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,AK,99559,Tribal,0.0,0.0,0.0,0.0
20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,AK,99669,Voluntary non-profit - Other,1.0,0.0,0.0,0.0
20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,AK,99508,Government - Federal,3.0,0.0,1.0,0.0
02013F,673rd Medical Group (Joint Base Elmendorf-Richardson),673 MDG 5955 Zeamer Ave,AK,99506,Department of Defense,0.0,0.0,0.0,0.0
02014F,Bassett ACH (FT Wainwright),4076 Neely Road,AK,99703,Department of Defense,0.0,0.0,0.0,0.0
21301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,AK,99686,Government - Local,0.0,0.0,0.0,0.0
21302,PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365",AK,99664,Government - Local,0.0,0.0,0.0,0.0
21304,PETERSBURG MEDICAL CENTER,PO BOX 589,AK,99833,Government - Local,0.0,0.0,0.0,0.0
21305,SEARHC WRANGELL MEDICAL CENTER-CAH,232 WOOD STREET,AK,99929,Tribal,0.0,0.0,0.0,0.0
21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,AK,99615,Voluntary non-profit - Church,0.0,0.0,0.0,0.0
21307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,AK,99574,Government - Local,0.0,0.0,0.0,0.0
21308,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),AK,99762,Tribal,0.0,0.0,0.0,0.0
21309,BRISTOL BAY AREA HEALTH CORPORATION,P O BOX 130,AK,99576,Voluntary non-profit - Private,0.0,0.0,0.0,0.0
21310,MANIILAQ HEALTH CENTER,PO BOX 43,AK,99752,Tribal,0.0,0.0,0.0,0.0
21311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,AK,99901,Voluntary non-profit - Church,0.0,0.0,0.0,0.0
21312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,AK,99723,Tribal,0.0,0.0,0.0,0.0
21313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,AK,99603,Voluntary non-profit - Private,0.0,0.0,0.0,0.0
21314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,222 TONGASS DR,AK,99835,Voluntary non-profit - Private,0.0,0.0,0.0,0.0
24001,NORTH STAR HOSPITAL,2530 DEBARR RD,AK,99508,Proprietary,0.0,0.0,0.0,0.0
24002,ALASKA PSYCHIATRIC INSTITUTE,3700 PIPER STREET,AK,99508,Government - State,0.0,0.0,0.0,0.0
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,AZ,85006,Voluntary non-profit - Other,3.0,0.0,2.0,0.0
30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,AZ,85712,Voluntary non-profit - Private,3.0,0.0,1.0,0.0
30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,AZ,86326,Voluntary non-profit - Private,4.0,0.0,0.0,4.0
30010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,AZ,85745,Voluntary non-profit - Private,2.0,0.0,1.0,0.0
30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,AZ,85711,Voluntary non-profit - Other,2.0,0.0,2.0,1.0
30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,AZ,86301,Voluntary non-profit - Private,2.0,0.0,2.0,0.0
30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,AZ,85364,Voluntary non-profit - Private,2.0,0.0,2.0,0.0
30014,HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,250 EAST DUNLAP AVENUE,AZ,85020,Voluntary non-profit - Private,3.0,0.0,1.0,0.0
30016,BANNER CASA GRANDE MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,AZ,85122,Voluntary non-profit - Other,3.0,0.0,1.0,0.0
30022,VALLEYWISE HEALTH MEDICAL CENTER,2601 EAST ROOSEVELT STREET,AZ,85008,Government - Local,2.0,0.0,3.0,0.0
30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,AZ,86001,Voluntary non-profit - Private,4.0,0.0,4.0,0.0
30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,AZ,85013,Voluntary non-profit - Church,4.0,0.0,3.0,0.0
30030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,AZ,85015,Physician,2.0,0.0,0.0,0.0
30036,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,AZ,85224,Voluntary non-profit - Private,4.0,1.0,1.0,1.0
30037,TEMPE ST LUKES HOSPITAL,1800 EAST VAN BUREN STREET,AZ,85006,Proprietary,1.0,0.0,0.0,0.0
30038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,AZ,85251,Proprietary,2.0,0.0,1.0,0.0
30043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,AZ,85635,Voluntary non-profit - Other,2.0,0.0,0.0,1.0
30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,AZ,86401,Government - Hospital District or Authority,4.0,1.0,1.0,2.0
30061,BANNER BOSWELL MEDICAL CENTER,13632 N 99TH AVE,AZ,85351,Voluntary non-profit - Other,3.0,0.0,0.0,0.0
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,AZ,85901,Voluntary non-profit - Private,4.0,0.0,0.0,0.0
30064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1625 NORTH CAMPBELL AVENUE,AZ,85719,Voluntary non-profit - Private,3.0,0.0,2.0,0.0
30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,AZ,85202,Voluntary non-profit - Private,2.0,0.0,3.0,0.0
30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,AZ,86403,Proprietary,1.0,0.0,0.0,0.0
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,AZ,86504,Tribal,0.0,0.0,0.0,0.0
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,AZ,86045,Voluntary non-profit - Other,0.0,0.0,0.0,0.0
30074,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",AZ,85634,Tribal,0.0,0.0,0.0,0.0
30078,PHOENIX INDIAN MEDICAL CENTER,4212 NORTH 16TH STREET,AZ,85016,Government - Federal,0.0,0.0,0.0,0.0
30083,ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,AZ,85032,Proprietary,1.0,0.0,0.0,1.0
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",AZ,86503,Government - Federal,0.0,0.0,0.0,0.0
30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,AZ,85741,Proprietary,2.0,0.0,2.0,0.0
30087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,AZ,85260,Proprietary,3.0,0.0,2.0,0.0
30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,AZ,85206,Voluntary non-profit - Private,2.0,0.0,0.0,1.0
30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,AZ,85306,Government - Hospital District or Authority,3.0,0.0,3.0,0.0
30092,HONORHEALTH DEER VALLEY MEDICAL CENTER,19829 NORTH 27TH AVENUE,AZ,85027,Voluntary non-profit - Private,2.0,0.0,1.0,0.0
30093,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,AZ,85375,Voluntary non-profit - Private,3.0,0.0,1.0,1.0
30094,ABRAZO ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,AZ,85308,Proprietary,2.0,0.0,4.0,0.0
30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,2735 SILVER CREEK ROAD,AZ,86442,Proprietary,2.0,0.0,0.0,1.0
30103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,AZ,85054,Voluntary non-profit - Private,5.0,4.0,3.0,1.0
30105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,AZ,85206,Voluntary non-profit - Private,4.0,0.0,0.0,2.0
30107,ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,AZ,85206,Physician,0.0,0.0,0.0,1.0
30108,THE CORE INSTITUTE SPECIALTY HOSP,6501 NORTH 19TH AVENUE,AZ,85015,Physician,0.0,0.0,0.0,0.0
30110,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,AZ,85395,Proprietary,1.0,0.0,2.0,0.0
30111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2800 EAST AJO WAY,AZ,85713,Voluntary non-profit - Private,3.0,0.0,2.0,0.0
30112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,750 NORTH 40TH STREET,AZ,85008,Proprietary,0.0,0.0,0.0,0.0
30113,WHITERIVER PHS INDIAN HOSPITAL,200 WEST HOSPITAL DRIVE  (PO BOX 860),AZ,85941,Government - Federal,0.0,0.0,0.0,0.0
30114,ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,AZ,85755,Proprietary,3.0,0.0,1.0,0.0
30115,BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,AZ,85037,Voluntary non-profit - Private,3.0,0.0,1.0,1.0
30117,VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,AZ,86426,Proprietary,1.0,0.0,0.0,0.0
30119,MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,AZ,85297,Voluntary non-profit - Church,4.0,0.0,1.0,1.0
30121,"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,AZ,85209,Proprietary,2.0,0.0,1.0,1.0
30122,BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,AZ,85234,Voluntary non-profit - Other,4.0,0.0,1.0,1.0
30123,HONORHEALTH SCOTTSDALE THOMPSON PEAK MED CTR,7400 EAST THOMPSON PEAK PARKWAY,AZ,85255,Voluntary non-profit - Private,5.0,2.0,0.0,1.0
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,AZ,85012,Veterans Health Administration,4.0,1.0,1.0,0.0
30130,BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD,AZ,85140,Voluntary non-profit - Private,2.0,0.0,1.0,0.0
30131,O.A.S.I.S. HOSPITAL,750 NORTH 40TH STREET,AZ,85008,Voluntary non-profit - Private,0.0,0.0,1.0,1.0
30134,BANNER GOLDFIELD MEDICAL CENTER,2050 WEST SOUTHERN AVENUE,AZ,85120,Voluntary non-profit - Other,0.0,0.0,0.0,0.0
30136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,7171 SOUTH 51ST AVENUE,AZ,85339,Proprietary,0.0,0.0,0.0,0.0
30138,WESTERN REGIONAL MEDICAL CENTER,14200 WEST CELEBRATE LIFE WAY,AZ,85338,Proprietary,5.0,0.0,0.0,1.0
30139,DIGNITY HEALTH ARIZONA GENERAL HOSPITAL,9130 EAST ELLIOT ROAD,AZ,85212,Voluntary non-profit - Private,0.0,0.0,0.0,0.0
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,AZ,85723,Veterans Health Administration,1.0,2.0,0.0,0.0
30146,HONORHEALTH SONORAN CROSSING MEDICAL CENTER,33400 NORTH 32ND AVENUE,AZ,85085,Voluntary non-profit - Private,4.0,0.0,1.0,0.0
30147,BANNER OCOTILLO MEDICAL CENTER,1405 SOUTH ALMA SCHOOL ROAD,AZ,85286,Voluntary non-profit - Private,0.0,0.0,0.0,0.0
30148,NORTHWEST MEDICAL CENTER SAHUARITA,16260 SOUTH RANCHO SAHUARITA BOULEVARD,AZ,85629,Voluntary non-profit - Private,0.0,0.0,0.0,0.0
