Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information
"The Arbors Operator, LLC",IN,Healthcare Provider,2808,11/18/2024,Hacking/IT Incident,"Electronic Medical Record, Network Server"
Village Pharmacy Group,MA,Healthcare Provider,584,11/18/2024,Hacking/IT Incident,Email
Option Care Health,IL,Healthcare Provider,2897,11/15/2024,Hacking/IT Incident,Email
"Equinox, Inc. ",NY,Healthcare Provider,21565,11/15/2024,Hacking/IT Incident,Network Server
Hospice and Palliative Care Charlotte Region dba VIA Health Partners,NC,Healthcare Provider,777,11/14/2024,Hacking/IT Incident,Email
Familylinks Inc.,PA,Healthcare Provider,3775,11/12/2024,Hacking/IT Incident,Email
Massachusetts Department of Developmental Services,MA,Healthcare Provider,3800,11/8/2024,Hacking/IT Incident,Email
Missouri Department of Mental Health,MO,Healthcare Provider,537,11/8/2024,Unauthorized Access/Disclosure,Email
"Orthopedics Rhode Island, Inc. ",CT,Healthcare Provider,377731,11/6/2024,Hacking/IT Incident,Network Server
Universal Health Corporation,VA,Healthcare Provider,583,11/6/2024,Hacking/IT Incident,Email
Embody Performance & Recovery,MO,Healthcare Provider,1100,11/4/2024,Unauthorized Access/Disclosure,Email
Regence BlueCross BlueShield,OR,Health Plan,610,10/29/2024,Unauthorized Access/Disclosure,Paper/Films
"Oregon Reproductive Medicine, LLC d/b/a ORM Fertility",NY,Healthcare Provider,2322,10/25/2024,Hacking/IT Incident,Network Server
Quest Diagnostics Incorporated,NJ,Healthcare Provider,1062,10/25/2024,Unauthorized Access/Disclosure,Network Server
"Southwest Colorado Mental Health Center, Inc. d/b/a Axis Health System",CO,Healthcare Provider,23385,10/25/2024,Hacking/IT Incident,Network Server
Stanislaus County Behavioral Health and Recovery Services,CA,Health Plan,767,10/24/2024,Unauthorized Access/Disclosure,Paper/Films
"Survival Flight, Inc.",AZ,Healthcare Provider,10989,10/18/2024,Hacking/IT Incident,Email
OnePoint Patient Care,AZ,Healthcare Provider,1741152,10/14/2024,Hacking/IT Incident,Network Server
"Cheasapeake Regional Information System for our Patients, Inc. (CRISP)",MD,Business Associate,8008,10/11/2024,Unauthorized Access/Disclosure,Electronic Medical Record
miCare Health Center ,MT,Healthcare Provider,2766,10/11/2024,Hacking/IT Incident,Email
"Easter Seals DC | MD | VA, Inc.",MD,Healthcare Provider,584,10/4/2024,Hacking/IT Incident,Email
"Long Island Plastic Surgical Group, P.C.",NY,Healthcare Provider,161707,10/4/2024,Hacking/IT Incident,Network Server
"Seven Counties Services, Inc.",KY,Healthcare Provider,132609,10/4/2024,Hacking/IT Incident,Email
Judge Rotenberg Educational Center,MA,Healthcare Provider,2579,10/3/2024,Hacking/IT Incident,Network Server
Hafetz and Associates ,NJ,Business Associate,26474,9/27/2024,Hacking/IT Incident,Email
 CF Medical,GA,Business Associate,242200,9/26/2024,Hacking/IT Incident,Network Server
Holistix Treatment Center LLC d/b/a We Level Up Treatment Lake Worth,FL,Healthcare Provider,6567,9/24/2024,Hacking/IT Incident,Network Server
Jefferson PA Heart and Vascular,PA,Healthcare Provider,755,9/18/2024,Unauthorized Access/Disclosure,Paper/Films
La Liga Puertorriquena Contra El Cancer DBA Hospital OncolÃ³gico,,Healthcare Provider,4590,9/16/2024,Hacking/IT Incident,Email
"Access Ambulatory Surgery Center, LLC",NH,Healthcare Provider,5205,9/12/2024,Hacking/IT Incident,Network Server
"Richland County, WI",WI,Healthcare Provider,76365,9/9/2024,Hacking/IT Incident,Network Server
Centers for Medicare & Medicaid Services,MD,Health Plan,3112815,9/6/2024,Hacking/IT Incident,Network Server
Guam Seventh-Day Adventist Clinic ,,Healthcare Provider,56635,9/6/2024,Hacking/IT Incident,Email
"United Way of Connecticut, Inc.",CT,Business Associate,8039,9/3/2024,Hacking/IT Incident,Email
"Service Access & Management, Inc.",PA,Healthcare Provider,1450,9/2/2024,Hacking/IT Incident,Network Server
Washoe County School District,NV,Health Plan,1017,8/30/2024,Hacking/IT Incident,Network Server
"Illinois Bone & Joint Institute, LLC",IL,Healthcare Provider,665321,8/30/2024,Hacking/IT Incident,Network Server
Goodwin Living Incorporated ,VA,Healthcare Provider,7170,8/29/2024,Hacking/IT Incident,Email
Panoramic Health,AZ,Business Associate,6228,8/28/2024,Hacking/IT Incident,Email
Compass Healthcare & Rehab Rowan LLC,NC,Healthcare Provider,1381,8/26/2024,Hacking/IT Incident,Email
Okanogan Behavioral HealthCare,WA,Healthcare Provider,26429,8/23/2024,Hacking/IT Incident,Network Server
Florida Department of Health ,FL,Healthcare Provider,729699,8/23/2024,Hacking/IT Incident,Network Server
"Connecticut GI, PLLC",CT,Healthcare Provider,46354,8/19/2024,Hacking/IT Incident,Network Server
"HAH Group Holding Company, LLC d/b/a â€œHelp At Home""",IL,Healthcare Provider,26744,8/18/2024,Hacking/IT Incident,Network Server
"Baker Places, Inc.",CA,Business Associate,971,8/16/2024,Hacking/IT Incident,Email
Vasinda's Around the Clock Care dba ATC Home Care ,CA,Healthcare Provider,30819,8/16/2024,Hacking/IT Incident,Network Server
Behavioral Health Alliance of Rural Pennsylvania ,PA,Health Plan,642,8/16/2024,Hacking/IT Incident,Email
Fairfield Memorial Hospital Association,IL,Healthcare Provider,25093,8/15/2024,Hacking/IT Incident,Network Server
Packaging Corporation of America,IL,Health Plan,783,8/15/2024,Hacking/IT Incident,Network Server
United Urology Group,MD,Business Associate,10704,8/14/2024,Hacking/IT Incident,Network Server
University of Connecticut Health Center Finance Corporation,CT,Healthcare Provider,1123,8/13/2024,Hacking/IT Incident,Email
Julie D. Kinsler DDS LLC dba Kinsler Family Dentistry,IN,Healthcare Provider,5500,8/12/2024,Hacking/IT Incident,Network Server
Monte Nido,FL,Healthcare Provider,41662,8/9/2024,Hacking/IT Incident,Network Server
The Facial Pain Center ,MN,Healthcare Provider,1894,8/9/2024,Hacking/IT Incident,Email
PG Dental d/b/a Aire Dental Arts,NY,Healthcare Provider,10200,8/9/2024,Hacking/IT Incident,Network Server
Harborview Oral & Facial Surgery Center,MS,Healthcare Provider,3472,8/8/2024,Hacking/IT Incident,Network Server
Hamilton-Madison House,NY,Healthcare Provider,1114,8/2/2024,Hacking/IT Incident,Network Server
"PRM Management Company, Inc.",FL,Healthcare Provider,3359,8/2/2024,Hacking/IT Incident,Email
Providence Pediatrics Manito ,WA,Healthcare Provider,1166,8/1/2024,Unauthorized Access/Disclosure,Paper/Films
"Advantage Orthopedic & Sports Medicine, LLP",OR,Healthcare Provider,1914,7/29/2024,Hacking/IT Incident,Network Server
NeighborHealth,MA,Healthcare Provider,526,7/26/2024,Unauthorized Access/Disclosure,Paper/Films
"AMERICAN CLINICAL SOLUTIONS, LLC",FL,Healthcare Provider,300000,7/24/2024,Hacking/IT Incident,Network Server
Allcare Medical Management Incorporated,CA,Business Associate,16378,7/22/2024,Hacking/IT Incident,Email
Arisa Health Incorporated,AR,Healthcare Provider,375436,7/19/2024,Hacking/IT Incident,Network Server
"Neuro Rehab Associates, Inc. d/b/a Northeast Rehabilitation Hospital Network",NH,Healthcare Provider,136724,7/19/2024,Hacking/IT Incident,Network Server
"Franklin County, Kansas",KS,Healthcare Provider,10263,7/19/2024,Hacking/IT Incident,Network Server
"Kaiser Foundation Hospitals, Northern California and The Permanente Medical Group, Inc. ",CA,Healthcare Provider,3435,7/15/2024,Unauthorized Access/Disclosure,Electronic Medical Record
The North Cottage Program,MA,Healthcare Provider,8190,7/15/2024,Hacking/IT Incident,Network Server
"Aveanna Healthcare, LLC",GA,Healthcare Provider,10482,7/12/2024,Unauthorized Access/Disclosure,Email
New Jersey Oral & Maxillofacial Surgery ,NJ,Healthcare Provider,74413,7/12/2024,Hacking/IT Incident,Network Server
"Family Dynamics Counseling Services, Inc. ",WA,Healthcare Provider,4373,7/11/2024,Hacking/IT Incident,Network Server
Janna Pharmacy LLC,CA,Healthcare Provider,26372,7/10/2024,Unauthorized Access/Disclosure,Email
"Johnson & Associates, Inc.",MT,Business Associate,4600,7/10/2024,Hacking/IT Incident,Other
"The Medibase Group, Inc.  ",GA,Business Associate,117957,7/5/2024,Hacking/IT Incident,Network Server
Sheet Metal Workers Local Union #83 Insurance Fund and Annuity Fund,NY,Health Plan,2184,7/3/2024,Hacking/IT Incident,Email
Aultman Hospital,OH,Healthcare Provider,6892,7/3/2024,Hacking/IT Incident,Email
"Maryville, Inc.",NJ,Healthcare Provider,24827,7/3/2024,Hacking/IT Incident,Email
"Marana Health Center, Inc.",AZ,Health Plan,542,7/2/2024,Unauthorized Access/Disclosure,Email
AmeriHealth Caritas Delaware,DE,Health Plan,2823,7/1/2024,Hacking/IT Incident,Network Server
"Human Technology Inc., and its affiliates ",TN,Healthcare Provider,24580,7/1/2024,Hacking/IT Incident,Network Server
SkinCure Oncology,IL,Business Associate,13434,6/28/2024,Hacking/IT Incident,Email
Mass General Brigham Health Plan,MA,Health Plan,3659,6/28/2024,Unauthorized Access/Disclosure,Other
Mass General Brigham Incorporated ,MA,Healthcare Provider,655,6/28/2024,Unauthorized Access/Disclosure,"Electronic Medical Record, Other"
"Samaritan Health Services, Inc.",OR,Healthcare Provider,1296,6/27/2024,Unauthorized Access/Disclosure,Electronic Medical Record
Memorial Sloan Kettering Cancer Center,NY,Healthcare Provider,12274,6/25/2024,Hacking/IT Incident,Email
The Mount Kisco Surgery Center LLC d/b/a The Ambulatory Surgery Center of Westchester,NY,Healthcare Provider,22139,6/25/2024,Hacking/IT Incident,Email
"MD Now Medical Centers, Inc. ",FL,Healthcare Provider,150560,6/25/2024,Hacking/IT Incident,Network Server
Pinnacle Orthopaedics & Sports Medicine Specialists LLC,GA,Healthcare Provider,1100,6/21/2024,Hacking/IT Incident,Network Server
Aultman Hospital,OH,Healthcare Provider,26206,6/21/2024,Hacking/IT Incident,Email
"Mobile Medical Response, Inc.",MI,Healthcare Provider,700,6/21/2024,Theft,Paper/Films
County of Los Angeles Department of Health Services,CA,Healthcare Provider,41444,6/21/2024,Hacking/IT Incident,Email
"Ambulnz Holdings, LLC",NY,Healthcare Provider,43773,6/21/2024,Hacking/IT Incident,Network Server
Access Sports Medicine & Orthopaedics,NH,Healthcare Provider,88044,6/20/2024,Hacking/IT Incident,Network Server
Zwanger-Pesiri Radiology,NY,Healthcare Provider,985,6/18/2024,Unauthorized Access/Disclosure,Paper/Films
OB GYN Specialists of Lima Inc,OH,Healthcare Provider,1241,6/17/2024,Improper Disposal,Paper/Films
Kaiser Foundation Health Plan of Northwest ,OR,Health Plan,578,6/14/2024,Unauthorized Access/Disclosure,Paper/Films
Consulting Radiologists LTD.,MN,Healthcare Provider,583824,6/14/2024,Hacking/IT Incident,Network Server
Heart South Cardiovascular Group,AL,Healthcare Provider,20577,6/13/2024,Hacking/IT Incident,Network Server
"Aptihealth, Inc.",NY,Healthcare Provider,19805,6/12/2024,Hacking/IT Incident,Network Server
Benefit Management LLC,KS,Business Associate,8777,6/12/2024,Hacking/IT Incident,Email
WAREHOUSE EMPLOYEES LOCAL 169 CONTRIBUTING EMPLOYERS HEALTH & WELFARE FUND,PA,Health Plan,1061,6/11/2024,Hacking/IT Incident,Network Server
Looking Glass Counseling,MA,Healthcare Provider,2739,6/10/2024,Unauthorized Access/Disclosure,Network Server
IACT Health,GA,Healthcare Provider,676,6/6/2024,Hacking/IT Incident,Network Server
"Angels Neurological Centers, P.C.",MA,Healthcare Provider,934,6/5/2024,Hacking/IT Incident,Electronic Medical Record
"Financial Business and Consumer Solutions, Inc.",PA,Business Associate,117567,6/4/2024,Hacking/IT Incident,Network Server
Mending Minds LLC dba Walnut Creek Psychiatry,IA,Healthcare Provider,733,6/1/2024,Unauthorized Access/Disclosure,Electronic Medical Record
Adventist Health Tulare,CA,Healthcare Provider,70802,5/31/2024,Hacking/IT Incident,Network Server
Delta Specialty Hospital,TN,Healthcare Provider,1998,5/31/2024,Hacking/IT Incident,Email
"Crestwyn Behavioral Health Hospital, Inc.",TN,Healthcare Provider,1757,5/31/2024,Hacking/IT Incident,Email
"Boston IVF, LLC",MA,Healthcare Provider,604,5/30/2024,Unauthorized Access/Disclosure,Paper/Films
"Lakeview Health Systems, LLC",FL,Healthcare Provider,10772,5/29/2024,Hacking/IT Incident,Network Server
Orchard Park Fire District EMS,NY,Healthcare Provider,2089,5/29/2024,Hacking/IT Incident,Email
"Fora Health, Inc.",OR,Healthcare Provider,1568,5/28/2024,Hacking/IT Incident,Email
"Florida Digestive Health Specialists, LLP",FL,Healthcare Provider,3205,5/27/2024,Hacking/IT Incident,Network Server
"iCircle Services of the Finger Lakes, Inc.",NY,Health Plan,3414,5/24/2024,Hacking/IT Incident,Email
Moffitt Cancer Center and Research Institute,FL,Healthcare Provider,756,5/24/2024,Unauthorized Access/Disclosure,Other
University of Chicago Medical Center,IL,Healthcare Provider,10332,5/24/2024,Hacking/IT Incident,Email
"ALN Medical Management, LLC",NE,Business Associate,1323720,5/23/2024,Hacking/IT Incident,Network Server
Summit Healthcare Regional Medical Center,AZ,Healthcare Provider,905,5/23/2024,Unauthorized Access/Disclosure,Electronic Medical Record
McLean Hospital,MA,Healthcare Provider,2231,5/21/2024,Unauthorized Access/Disclosure,Email
County of Los Angeles Department of Mental Health ,CA,Healthcare Provider,1598,5/20/2024,Hacking/IT Incident,Network Server
"Call 4 Health, Inc.",FL,Business Associate,10434,5/17/2024,Hacking/IT Incident,Network Server
"Brockton Area Multi Services, Inc.",MA,Healthcare Provider,21537,5/16/2024,Hacking/IT Incident,Network Server
Tobii Dynavox,PA,Healthcare Provider,1098,5/14/2024,Hacking/IT Incident,Email
Badalamenti-Ferlito Orthodontics,MI,Healthcare Provider,1427,5/14/2024,Unauthorized Access/Disclosure,Email
"TimeDoc, Inc",IL,Business Associate,1894,5/13/2024,Theft,Laptop
Children's Health Care,MN,Healthcare Provider,24183,5/10/2024,Hacking/IT Incident,Email
Precision Medical Products Inc.,CA,Healthcare Clearing House,1094,5/9/2024,Hacking/IT Incident,Email
Delta Specialty Hospital,TN,Healthcare Provider,1019,5/8/2024,Unauthorized Access/Disclosure,Email
The Kennedy Collective,CT,Healthcare Provider,851,5/7/2024,Hacking/IT Incident,Email
Allina Health System,MN,Healthcare Provider,715,5/6/2024,Unauthorized Access/Disclosure,Electronic Medical Record
Columbia University Irving Medical Center,NY,Healthcare Provider,29629,5/6/2024,Unauthorized Access/Disclosure,Network Server
Redwood Coast Regional Center,CA,Healthcare Provider,24937,5/3/2024,Hacking/IT Incident,Network Server
Panoramic Health,AZ,Business Associate,5445,5/3/2024,Hacking/IT Incident,Email
"Affiliated Dermatologists and Dermatologic Surgeons, P.A.",NJ,Healthcare Provider,373680,5/3/2024,Hacking/IT Incident,Network Server
Aetna ACE,CT,Health Plan,9191,5/3/2024,Hacking/IT Incident,Network Server
"MedStar Health, Inc.",MD,Healthcare Provider,183079,5/3/2024,Hacking/IT Incident,Email
Grayson & Associates,AL,Healthcare Provider,573,5/3/2024,Hacking/IT Incident,Network Server
Marpai Health,NY,Healthcare Provider,1129,5/2/2024,Hacking/IT Incident,Email
Merchants Benefit Administration,AZ,Health Plan,767,4/30/2024,Hacking/IT Incident,Email
"Allergy Medical Group of the North Area, Inc.",CA,Healthcare Provider,6934,4/29/2024,Hacking/IT Incident,Network Server
Inland Physicians Billing Services,CA,Healthcare Clearing House,77434,4/27/2024,Hacking/IT Incident,Network Server
"Guardant Health, Inc.",CA,Healthcare Provider,9309,4/26/2024,Unauthorized Access/Disclosure,Network Server
OrthoConnecticut PLLC,CT,Healthcare Provider,178742,4/26/2024,Hacking/IT Incident,Network Server
Aspire Health Alliance,MA,Healthcare Provider,17490,4/26/2024,Hacking/IT Incident,Network Server
Bay Oral Surgery & Implant Center,WI,Healthcare Provider,13055,4/26/2024,Hacking/IT Incident,Email
County of Los Angeles Departments of Health Services and Public Health,CA,Healthcare Provider,252856,4/25/2024,Hacking/IT Incident,Email
Moffitt Cancer Center and Research Institute,FL,Healthcare Provider,26577,4/24/2024,Hacking/IT Incident,Network Server
Cape Fear Aesthetics,NC,Healthcare Provider,1165,4/23/2024,Hacking/IT Incident,Network Server
Blackstone Valley Community Health Care,RI,Healthcare Provider,34518,4/22/2024,Hacking/IT Incident,Network Server
The Georgia Institute for Plastic Surgery,GA,Healthcare Provider,8111,4/22/2024,Hacking/IT Incident,Network Server
Health First Urgent Care PLLC,WA,Healthcare Provider,4169,4/22/2024,Unauthorized Access/Disclosure,Network Server
Bluebonnet Trails Community Services,TX,Healthcare Provider,76165,4/22/2024,Hacking/IT Incident,Email
"Advarra, Inc.",MD,Business Associate,596,4/19/2024,Hacking/IT Incident,Email
Green Diamond Resource Company,WA,Health Plan,8172,4/19/2024,Hacking/IT Incident,Network Server
Montgomery County Board of Developmental Disabilities Services,OH,Business Associate,8819,4/18/2024,Hacking/IT Incident,Network Server
"Tobin, Carberry, O'Malley, Riley & Selinger, P.C.",CT,Business Associate,47106,4/17/2024,Hacking/IT Incident,Network Server
Philips Respironics,PA,Business Associate,1338,4/16/2024,Hacking/IT Incident,Network Server
Philips Respironics,PA,Business Associate,7539,4/16/2024,Hacking/IT Incident,Network Server
Philips Respironics,PA,Business Associate,5576,4/16/2024,Hacking/IT Incident,Network Server
"Moveable Feast, Inc.",MD,Healthcare Provider,568,4/16/2024,Improper Disposal,Paper/Films
MHNU Corporation d/b/a Medical Home Network,IL,Business Associate,681,4/16/2024,Hacking/IT Incident,Email
Dental Health Services,CA,Health Plan,4562,4/16/2024,Unauthorized Access/Disclosure,Email
"Dental Health Services, Inc",WA,Health Plan,1778,4/16/2024,Unauthorized Access/Disclosure,Email
Somerset Dental  ,NV,Healthcare Provider,11321,4/16/2024,Hacking/IT Incident,Network Server
Catholic Medical Center,NH,Healthcare Provider,2792,4/15/2024,Hacking/IT Incident,Email
American Healthcare Systems LLC dba Randolph Health ,NC,Healthcare Provider,899,4/10/2024,Hacking/IT Incident,Email
CompuNet Clinical Laboratories,OH,Healthcare Provider,6963,4/10/2024,Unauthorized Access/Disclosure,Other Portable Electronic Device
"Spurwink Services, Inc.",MS,Healthcare Provider,27332,4/9/2024,Hacking/IT Incident,Network Server
The Epilepsy Foundation of Metro New York,NY,Healthcare Provider,3852,4/8/2024,Hacking/IT Incident,Network Server
"BlueCross BlueShield of Tennessee, Inc. ",TN,Business Associate,717,4/5/2024,Unauthorized Access/Disclosure,Network Server
Zuckerberg San Francisco General Hospital and Trauma Center,CA,Healthcare Provider,754,4/4/2024,Loss,Paper/Films
"Politzer and Durocher, PLC d/b/a Optometric Physicians of Middle Tennessee",TN,Healthcare Provider,24996,4/4/2024,Hacking/IT Incident,Network Server
Cattaraugus-Allegany Board of Cooperative Education Services,NY,Business Associate,15203,4/4/2024,Hacking/IT Incident,Network Server
Advanced Care Hospital of Montana,MT,Healthcare Provider,2331,4/2/2024,Hacking/IT Incident,Network Server
South Texas Rehabilitation Hospital,TX,Healthcare Provider,4130,3/29/2024,Hacking/IT Incident,Network Server
"HCF of Fairview Inc. (""Fairview Manor"")",PA,Healthcare Provider,2935,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Edinboro Inc. (""Edinboro Manor"")",PA,Healthcare Provider,2844,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Crestview Inc. (""Village at the Greene"")",OH,Healthcare Provider,1944,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Court House Inc. (""St. Catherine's Manor of Washington Court House"")",OH,Healthcare Provider,3012,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Corry Inc. (""Corry Manor"")",PA,Healthcare Provider,2620,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Celina Inc. (""Celina Manor"")",OH,Healthcare Provider,2321,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Briarwood Inc. (""Briarwood Village"")",OH,Healthcare Provider,2650,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Bradford Inc. (""Bradford Manor"")",PA,Healthcare Provider,1565,1/9/2025,Hacking/IT Incident,Network Server
"HCF of Bowling Green, Inc. (""Bowling Green Manor"")",OH,Healthcare Provider,3500,1/9/2025,Hacking/IT Incident,Network Server
"LifeBridge Health, Inc",MD,Healthcare Provider,25895,1/8/2025,Hacking/IT Incident,Email
"TruBridge, Inc. ",AL,Business Associate,3855,1/4/2025,Hacking/IT Incident,Email
Sidney Health Center,MT,Healthcare Provider,1370,1/3/2025,Unauthorized Access/Disclosure,Email
"Center for Child Development, INC",DE,Healthcare Provider,540,1/2/2025,Unauthorized Access/Disclosure,Email
Judge Baker Childrenâ€™s Center dba The Baker Center for Children and Families,MA,Healthcare Provider,2715,12/27/2024,Hacking/IT Incident,Network Server
Lexington Diagnostic Center,KY,Healthcare Provider,29819,12/24/2024,Hacking/IT Incident,Network Server
"VisionPoint Eye Center, PLLC ",IL,Healthcare Provider,66926,12/15/2024,Hacking/IT Incident,Network Server
Brockton Neighborhood Health Center,MA,Healthcare Provider,97488,12/13/2024,Hacking/IT Incident,Network Server
Insured Recovery,TN,Healthcare Provider,850,12/11/2024,Hacking/IT Incident,Network Server
Veterans Health Administration,DC,Healthcare Provider,2302,12/3/2024,Hacking/IT Incident,Network Server
"FC Compassus, LLC",TN,Healthcare Provider,2703,12/2/2024,Hacking/IT Incident,Email
Ardon Health,OR,Healthcare Provider,10098,11/22/2024,Hacking/IT Incident,Email
"East Paris Internal Medicine Associates, PC",MI,Healthcare Provider,5239,11/22/2024,Unauthorized Access/Disclosure,Email
"Green Castle Recovery Center DBA, Sanford Behavioral Health",MI,Healthcare Provider,703,11/22/2024,Hacking/IT Incident,Email
"Enso Counseling Group, PLLC",NH,Healthcare Provider,943,11/20/2024,Unauthorized Access/Disclosure,Email
"The Arbors Operator, LLC",IN,Healthcare Provider,2808,11/18/2024,Hacking/IT Incident,"Electronic Medical Record, Network Server"
Village Pharmacy Group,MA,Healthcare Provider,584,11/18/2024,Hacking/IT Incident,Email
Option Care Health,IL,Healthcare Provider,2897,11/15/2024,Hacking/IT Incident,Email
"Equinox, Inc. ",NY,Healthcare Provider,21565,11/15/2024,Hacking/IT Incident,Network Server
Hospice and Palliative Care Charlotte Region dba VIA Health Partners,NC,Healthcare Provider,777,11/14/2024,Hacking/IT Incident,Email
