facility_id,facility_name,address,city/town,state,zip_code,county/parish,cehrt_id,meets_criteria_for_promoting_interoperability_of_ehrs,start_date,end_date
10049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,0015CR8535UDY24,True,2023-01-01,2023-12-31
10051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,GREENE,0015CFG3Q10HY2V,,2023-01-01,2023-12-31
10052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,0015C7URE9RTG1U,True,2023-01-01,2023-12-31
10055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36302,HOUSTON,0015CPE9ARQ008M,True,2023-01-01,2023-12-31
10056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,0015C5LFV335WOK,True,2023-01-01,2023-12-31
10058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,BIBB,0015CT0PPT32RH0,True,2023-01-01,2023-12-31
10059,LAWRENCE MEDICAL CENTER,202 HOSPITAL STREET,MOULTON,AL,35650,LAWRENCE,0015CD30BJE5K3L,True,2023-01-01,2023-12-31
10061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,0015CWC4SAB73GB,True,2023-01-01,2023-12-31
10062,WIREGRASS MEDICAL CENTER,1200 W MAPLE AVENUE,GENEVA,AL,36340,GENEVA,0015CB33X8EL5AZ,,2023-01-01,2023-12-31
10065,RUSSELL MEDICAL CENTER,3316 HIGHWAY 280,ALEXANDER CITY,AL,35010,TALLAPOOSA,0015C0JMU86CL6B,True,2023-01-01,2023-12-31
10073,CLAY COUNTY HOSPITAL,83825 HIGHWAY 9    P O BOX 1270,ASHLAND,AL,36251,CLAY,0015CFG3Q10HY2V,True,2023-01-01,2023-12-31
10078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,400 EAST 10TH STREET,ANNISTON,AL,36207,CALHOUN,0015C351NUV0GV3,True,2023-01-01,2023-12-31
10079,ATHENS LIMESTONE HOSPITAL,700 WEST MARKET STREET,ATHENS,AL,35611,LIMESTONE,0015C0HAX4ESQ0D,True,2023-01-01,2023-12-31
10083,BALDWIN HEALTH,1613 NORTH MCKENZIE STREET,FOLEY,AL,36535,BALDWIN,0015CR8535UDY24,True,2023-01-01,2023-12-31
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,1201 7TH STREET SE,DECATUR,AL,35601,MORGAN,0015C9GP30G6V88,True,2023-01-01,2023-12-31
10086,NORTHWEST MEDICAL CENTER,1530 U S HIGHWAY 43,WINFIELD,AL,35594,FAYETTE,0015CU43RP0JE55,True,2023-01-01,2023-12-31
10087,USA HEALTH UNIVERSITY HOSPITAL,2451 FILLINGIM STREET,MOBILE,AL,36617,MOBILE,0015C5LFV335W0K,True,2023-01-01,2023-12-31
10089,WALKER BAPTIST MEDICAL CENTER,3400 HIGHWAY 78 EAST,JASPER,AL,35502,WALKER,0015CEN2HB2EXA1,True,2023-01-01,2023-12-31
10090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",6801 AIRPORT BOULEVARD,MOBILE,AL,36608,MOBILE,0015C5LFV335WOK,True,2023-01-01,2023-12-31
10091,GROVE HILL MEMORIAL HOSPITAL,295 JACKSON HWY S,GROVE HILL,AL,36451,CLARKE,0015CFG3Q10HY2V,True,2023-01-01,2023-12-31
10092,DCH REGIONAL MEDICAL CENTER,809 UNIVERSITY BOULEVARD EAST,TUSCALOOSA,AL,35401,TUSCALOOSA,0015C47EGD92VSJ,True,2023-01-01,2023-12-31
10095,HALE COUNTY HOSPITAL,508 GREEN STREET,GREENSBORO,AL,36744,HALE,0015CT0PPT32RH0,,2023-01-01,2023-12-31
10097,ELMORE COMMUNITY HOSPITAL,500 HOSPITAL DRIVE,WETUMPKA,AL,36092,ELMORE,0015C7URE9RTG1U,True,2023-01-01,2023-12-31
10099,D W MCMILLAN MEMORIAL HOSPITAL,1301 BELLEVILLE AVENUE,BREWTON,AL,36426,ESCAMBIA,0015CQ314ZJA5HG,True,2023-01-01,2023-12-31
10100,THOMAS HOSPITAL,750 MORPHY AVENUE,FAIRHOPE,AL,36532,BALDWIN,0015C97XDZ8XB5U,True,2023-01-01,2023-12-31
10101,CITIZENS BAPTIST MEDICAL CENTER,604 STONE AVENUE,TALLADEGA,AL,35160,TALLADEGA,0015CEN2HB2EXA1,True,2023-01-01,2023-12-31
10102,J PAUL JONES HOSPITAL,317 MCWILLIAMS AVENUE,CAMDEN,AL,36726,WILCOX,0015CT0PPT32RH0,,2023-01-01,2023-12-31
10103,PRINCETON BAPTIST MEDICAL CENTER,701 PRINCETON AVENUE SOUTHWEST,BIRMINGHAM,AL,35211,JEFFERSON,0015CEN2HB2EXA1,True,2023-01-01,2023-12-31
10104,GRANDVIEW MEDICAL CENTER,3690 GRANDVIEW PARKWAY,BIRMINGHAM,AL,35243,JEFFERSON,0015CPE9ARQ008M,True,2023-01-01,2023-12-31
10108,PRATTVILLE BAPTIST HOSPITAL,124 S MEMORIAL DR,PRATTVILLE,AL,36067,AUTAUGA,0015CEZ6FY4WR6V,True,2023-01-01,2023-12-31
10110,BULLOCK COUNTY HOSPITAL,102 WEST CONECUH AVENUE,UNION SPRINGS,AL,36089,BULLOCK,,,2023-01-01,2023-12-31
10112,WHITFIELD REGIONAL HOSPITAL,105 HIGHWAY 80 EAST,DEMOPOLIS,AL,36732,MARENGO,,,2023-01-01,2023-12-31
10113,MOBILE INFIRMARY MEDICAL CENTER,5 MOBILE INFIRMARY CIRCLE,MOBILE,AL,36607,MOBILE,0015C97XDZ8XB5U,True,2023-01-01,2023-12-31
10114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",995 9TH AVENUE SOUTHWEST,BESSEMER,AL,35022,JEFFERSON,0015CBS1QV2E51Z,True,2023-01-01,2023-12-31
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,1015 MEDICAL CENTER PARKWAY,SELMA,AL,36701,DALLAS,0015C4XYB82NW5B,True,2023-01-01,2023-12-31
10120,MONROE COUNTY HOSPITAL,2016 SOUTH ALABAMA AVENUE,MONROEVILLE,AL,36460,MONROE,0015CFG3Q10HY2V,,2023-01-01,2023-12-31
10125,LAKELAND COMMUNITY HOSPITAL,42024 HIGHWAY 195 E,HALEYVILLE,AL,35565,WINSTON,0015C8CHE73ABS5,True,2023-01-01,2023-12-31
10126,TROY REGIONAL MEDICAL CENTER,1330 HIGHWAY 231 SOUTH,TROY,AL,36081,PIKE,0015CFG3Q10HY2V,,2023-01-01,2023-12-31
10128,JACKSON MEDICAL CENTER,220 HOSPITAL DRIVE,JACKSON,AL,36545,CLARKE,0015CFG3Q10HY2V,True,2023-01-01,2023-12-31
10129,NORTH BALDWIN INFIRMARY,1815 HAND AVENUE,BAY MINETTE,AL,36507,BALDWIN,0015C97XDZ8XB5U,True,2023-01-01,2023-12-31
10130,ST VINCENT'S ST CLAIR,7063 VETERANS PARKWAY,PELL CITY,AL,35125,ST. CLAIR,0015C5LFV335WOK,True,2023-01-01,2023-12-31
10131,CRESTWOOD MEDICAL CENTER,ONE HOSPITAL DR SE,HUNTSVILLE,AL,35801,MADISON,0015CR8535UDY24,True,2023-01-01,2023-12-31
10138,HILL HOSPITAL OF SUMTER COUNTY,751 DERBY DRIVE,YORK,AL,36925,SUMTER,,,2023-01-01,2023-12-31
10139,BROOKWOOD BAPTIST MEDICAL CENTER,1280 COLUMBIANA ROAD STE 102,VESTAVIA,AL,35216,JEFFERSON,0015CLT8S0A3MT6,True,2023-01-01,2023-12-31
10144,SPRINGHILL MEDICAL CENTER,3719 DAUPHIN STREET,MOBILE,AL,36608,MOBILE,0015CF2C9MW8EHH,True,2023-01-01,2023-12-31
10148,EVERGREEN MEDICAL CENTER,101 CRESTVIEW AVENUE,EVERGREEN,AL,36401,CONECUH,0015CFG3Q10HY2V,True,2023-01-01,2023-12-31
10149,BAPTIST MEDICAL CENTER EAST,400 TAYLOR ROAD,MONTGOMERY,AL,36117,MONTGOMERY,0015CEZ6FY4WR6V,True,2023-01-01,2023-12-31
10150,THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL,29 L V STABLER DRIVE,GREENVILLE,AL,36037,BUTLER,0015CFG3Q10HY2V,True,2023-01-01,2023-12-31
10157,NORTH ALABAMA SHOALS HOSPITAL,201 WEST AVALON AVENUE,MUSCLE SHOALS,AL,35661,COLBERT,0015CW76TRC3SVN,True,2023-01-01,2023-12-31
10158,RUSSELLVILLE HOSPITAL,15155 HIGHWAY 43,RUSSELLVILLE,AL,35653,FRANKLIN,0015CY9N5RK82FA,True,2023-01-01,2023-12-31
10164,COOSA VALLEY MEDICAL CENTER,315 W HICKORY ST,SYLACAUGA,AL,35150,TALLADEGA,0015CFG3Q10HY2V,True,2023-01-01,2023-12-31
10168,JACK HUGHSTON MEMORIAL HOSPITAL,4401 RIVER CHASE DRIVE,PHENIX CITY,AL,36867,RUSSELL,0015C8CHE73ABS5,True,2023-01-01,2023-12-31
10169,ATMORE COMMUNITY HOSPITAL,401 MEDICAL PARK DRIVE,ATMORE,AL,36502,ESCAMBIA,0015CQ314ZJA5HG,True,2023-01-01,2023-12-31
10173,ST VINCENT'S CHILTON,2030 LAY DAM ROAD,CLANTON,AL,35045,CHILTON,0015C5LFV335W0K,True,2023-01-01,2023-12-31
10174,THOMASVILLE REGIONAL MEDICAL CENTER LLC,300 MED PARK DRIVE,THOMASVILLE,AL,36784,CLARKE,,,2023-01-01,2023-12-31
10175,EAMC-LANIER,4800 48TH STREET,VALLEY,AL,36854,CHAMBERS,0015C069QS9VL47,True,2023-01-01,2023-12-31
11300,WASHINGTON COUNTY HOSPITAL,14600 ST. STEPHENS AVENUE,CHATOM,AL,36518,WASHINGTON,,,2023-01-01,2023-12-31
11302,RED BAY HOSPITAL,211 HOSPITAL ROAD,RED BAY,AL,35582,FRANKLIN,,,2023-01-01,2023-12-31
11304,OCHSNER CHOCTAW GENERAL,"401 VANITY FAIR LANE, PO BOX 618",BUTLER,AL,36904,CHOCTAW,0015CVZ8NZE0N5M,True,2023-01-01,2023-12-31
11305,ST VINCENTS BLOUNT,150 GILBREATH DRIVE,ONEONTA,AL,35121,BLOUNT,0015C5LFV335W0K,True,2023-01-01,2023-12-31
11306,TANNER MEDICAL CENTER-EAST ALABAMA,1032 MAIN STREET SOUTH,WEDOWEE,AL,36278,RANDOLPH,,,2023-01-01,2023-12-31
11307,MEDICAL CENTER BARBOUR,820 W WASHINGTON ST,EUFAULA,AL,36027,BARBOUR,,,2023-01-01,2023-12-31
13300,THE CHILDREN'S HOSPITAL OF ALABAMA,1600 SEVENTH AVENUE SOUTH,BIRMINGHAM,AL,35233,JEFFERSON,,,2023-01-01,2023-12-31
13301,USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL,1700 CENTER STREET,MOBILE,AL,36604,MOBILE,,,2023-01-01,2023-12-31
20001,PROVIDENCE ALASKA MEDICAL CENTER,3200 PROVIDENCE DRIVE,ANCHORAGE,AK,99508,ANCHORAGE,0015CCE123S5WK4,True,2023-01-01,2023-12-31
20006,MAT-SU REGIONAL MEDICAL CENTER,2500 SOUTH WOODWORTH LOOP,PALMER,AK,99645,MATANUSKA-SUSITNA,0015CR8535UDY24,True,2023-01-01,2023-12-31
20008,BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,JUNEAU,AK,99801,JUNEAU,0015C084N9B8PXS,True,2023-01-01,2023-12-31
20012,FAIRBANKS MEMORIAL HOSPITAL,1650 COWLES STREET,FAIRBANKS,AK,99701,FAIRBANKS NORTH STAR,0015C3K3YJ2CSK4,True,2023-01-01,2023-12-31
20017,ALASKA REGIONAL HOSPITAL,2801 DEBARR ROAD,ANCHORAGE,AK,99508,ANCHORAGE,0015CYV73ECC6M9,True,2023-01-01,2023-12-31
20018,YUKON KUSKOKWIM DELTA REG HOSPITAL,PO BOX 287,BETHEL,AK,99559,BETHEL,0015CNE5E23X9WJ,True,2023-01-01,2023-12-31
20024,CENTRAL PENINSULA GENERAL HOSPITAL,250 HOSPITAL PLACE,SOLDOTNA,AK,99669,KENAI PENINSULA,0015CDF3ECN53CG,True,2023-01-01,2023-12-31
20026,ALASKA NATIVE MEDICAL CENTER,4315 DIPLOMACY DR,ANCHORAGE,AK,99508,ANCHORAGE,0015C5SDY48QRN1,True,2023-01-01,2023-12-31
21301,PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,AK,99686,VALDEZ-CORDOVA,0015CCE123S5WK4,True,2023-01-01,2023-12-31
21302,PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365",SEWARD,AK,99664,KENAI PENINSULA,0015CCE123S5WK4,True,2023-01-01,2023-12-31
21304,PETERSBURG MEDICAL CENTER,PO BOX 589,PETERSBURG,AK,99833,PETERSBURG BOROUGH,,,2023-01-01,2023-12-31
21305,SEARHC WRANGELL MEDICAL CENTER-CAH,232 WOOD STREET,WRANGELL,AK,99929,WRANGELL CITY AND BOROUGH,,,2023-01-01,2023-12-31
21306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,99615,KODIAK ISLAND BOROUGH,0015CCE123S5WK4,True,2023-01-01,2023-12-31
21307,CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,VALDEZ-CORDOVA,0015CFG3Q10HY2V,True,2023-01-01,2023-12-31
21308,NORTON SOUND REGIONAL HOSPITAL,1000 GREG KRUSCHEK AVENUE (P O BOX 966),NOME,AK,99762,NOME,0015CN9A2LCQ8V2,True,2023-01-01,2023-12-31
21309,BRISTOL BAY AREA HEALTH CORPORATION,P O BOX 130,DILLINGHAM,AK,99576,DILLINGHAM,0015CN9A2LCQ8V2,True,2023-01-01,2023-12-31
21310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,NORTHWEST ARTIC BOROUGH,0015CN9A2LCQ8V2,True,2023-01-01,2023-12-31
21311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,3100 TONGASS AVENUE,KETCHIKAN,AK,99901,KETCHIKAN GATEWAY,0015CU48GML2XL5,True,2023-01-01,2023-12-31
21312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,7000 UULA ST,BARROW,AK,99723,NORTH SLOPE BOROUH,,,2023-01-01,2023-12-31
21313,SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,HOMER,AK,99603,KENAI PENINSULA,0015CFG3Q10HY2V,True,2023-01-01,2023-12-31
21314,SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM,222 TONGASS DR,SITKA,AK,99835,SITKA BOROUGH,,,2023-01-01,2023-12-31
30002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,MARICOPA,0015CWG9E12DJH8,True,2023-01-01,2023-12-31
30006,TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,PIMA,0015CRN2VX5J03M,True,2023-01-01,2023-12-31
30007,VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,YAVAPAI,0015C7EXC2HYX3X,True,2023-01-01,2023-12-31
30010,ST. MARY'S HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,PIMA,0015CPS61Z1JW9R,True,2023-01-01,2023-12-31
30011,ST JOSEPH'S HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,PIMA,0015CPS61Z1JW9R,True,2023-01-01,2023-12-31
30012,YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,YAVAPAI,0015CG9EYN4SXX0,True,2023-01-01,2023-12-31
30013,YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,85364,YUMA,0015C8XCN16R6V5,True,2023-01-01,2023-12-31
30014,HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,MARICOPA,0015C0AWU30GFF9,True,2023-01-01,2023-12-31
30016,BANNER CASA GRANDE MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85122,PINAL,0015CWG9E12DJH8,True,2023-01-01,2023-12-31
30022,VALLEYWISE HEALTH MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008,MARICOPA,,,2023-01-01,2023-12-31
30023,FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,COCONINO,0015C7EXC2HYX3X,True,2023-01-01,2023-12-31
30024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,MARICOPA,0015C2FVF76YBY1,True,2023-01-01,2023-12-31
30030,ABRAZO CENTRAL CAMPUS,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,MARICOPA,0015CLT8S0A3MT6,True,2023-01-01,2023-12-31
30036,CHANDLER REGIONAL MEDICAL CENTER,1955 WEST FRYE ROAD,CHANDLER,AZ,85224,MARICOPA,0015C2FVF76YBY1,True,2023-01-01,2023-12-31
30037,TEMPE ST LUKES HOSPITAL,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,MARICOPA,0015C28CYJ5LLF4,True,2023-01-01,2023-12-31
30038,HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,MARICOPA,0015C0AWU30GFF9,True,2023-01-01,2023-12-31
30043,CANYON VISTA MEDICAL CENTER,5700 EAST HIGHWAY 90,SIERRA VISTA,AZ,85635,COCHISE,0015CQC4AND9RQT,True,2023-01-01,2023-12-31
30055,KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,AZ,86401,MOHAVE,0015C5DAR6S83CP,True,2023-01-01,2023-12-31
30061,BANNER BOSWELL MEDICAL CENTER,13632 N 99TH AVE,SUN CITY,AZ,85351,MARICOPA,0015CWG9E12DJH8,True,2023-01-01,2023-12-31
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 EAST SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901,NAVAJO,0015CW4VMW3NMY3,True,2023-01-01,2023-12-31
30064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,1625 NORTH CAMPBELL AVENUE,TUCSON,AZ,85719,PIMA,0015CWG9E12DJH8,True,2023-01-01,2023-12-31
30065,BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,MARICOPA,0015CWG9E12DJH8,True,2023-01-01,2023-12-31
30069,HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403,MOHAVE,0015CD30BJE5K3L,True,2023-01-01,2023-12-31
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FT. DEFIANCE,AZ,86504,APACHE,0015CWD0UCD0JJL,,2023-01-01,2023-12-31
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,0015CF2C9MW8EHH,True,2023-01-01,2023-12-31
30074,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,PIMA,,,2023-01-01,2023-12-31
30078,PHOENIX INDIAN MEDICAL CENTER,4212 NORTH 16TH STREET,PHOENIX,AZ,85016,MARICOPA,,,2023-01-01,2023-12-31
30083,ABRAZO SCOTTSDALE CAMPUS,3929 EAST BELL ROAD,PHOENIX,AZ,85032,MARICOPA,0015CLT8S0A3MT6,True,2023-01-01,2023-12-31
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,APACHE,0015CWD0UCD0JJL,True,2023-01-01,2023-12-31
30085,NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,PIMA,0015CPE9ARQ008M,True,2023-01-01,2023-12-31
30087,HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,85260,MARICOPA,0015C0AWU30GFF9,True,2023-01-01,2023-12-31
30088,BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,MARICOPA,0015CWG9E12DJH8,True,2023-01-01,2023-12-31
30089,BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,MARICOPA,0015CWG9E12DJH8,True,2023-01-01,2023-12-31
30092,HONORHEALTH DEER VALLEY MEDICAL CENTER,19829 NORTH 27TH AVENUE,PHOENIX,AZ,85027,MARICOPA,0015C0AWU30GFF9,True,2023-01-01,2023-12-31
30093,BANNER DEL E. WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,MARICOPA,0015CWG9E12DJH8,True,2023-01-01,2023-12-31
30094,ABRAZO ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,MARICOPA,0015CLT8S0A3MT6,True,2023-01-01,2023-12-31
30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,86442,MOHAVE,0015CR8535UDY24,True,2023-01-01,2023-12-31
30103,MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,MARICOPA,0015CVV17E9ZY7H,True,2023-01-01,2023-12-31
30105,BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,AZ,85206,MARICOPA,0015CWG9E12DJH8,True,2023-01-01,2023-12-31
30107,ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,MESA,AZ,85206,MARICOPA,0015C40C0YCP4T4,True,2023-01-01,2023-12-31
30108,THE CORE INSTITUTE SPECIALTY HOSP,6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015,MARICOPA,0015CFG3Q10HY2V,True,2023-01-01,2023-12-31
30110,ABRAZO WEST CAMPUS,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,MARICOPA,0015CLT8S0A3MT6,True,2023-01-01,2023-12-31
30111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,2800 EAST AJO WAY,TUCSON,AZ,85713,PIMA,0015CWG9E12DJH8,True,2023-01-01,2023-12-31
30112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,750 NORTH 40TH STREET,PHOENIX,AZ,85008,MARICOPA,0015C80E18RAW4X,True,2023-01-01,2023-12-31
30113,WHITERIVER PHS INDIAN HOSPITAL,200 WEST HOSPITAL DRIVE  (PO BOX 860),WHITERIVER,AZ,85941,NAVAJO,0015CWD0UCD0JJL,,2023-01-01,2023-12-31
